# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.5000000000e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e-04
# CofR            : (2.5000000000e-01 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.2               	5.5050070578e-03	1.1041996442e-03	4.4008074137e-03	1.6401033679e-01	4.6504746940e-02	1.1750558985e-01	-3.5500421456e-02	-1.6483038848e-03	5.5325320931e-05	-3.5499797130e-17	5.5325320931e-05	-5.5325320931e-05
0.4               	5.2574215675e-03	8.3250467843e-04	4.4249168891e-03	1.7872697566e-01	5.2067770518e-02	1.2665920514e-01	-3.7295717309e-02	-1.7962061053e-03	5.2837086754e-05	-3.6927199231e-17	5.2837086754e-05	-5.2837086754e-05
0.6               	5.2334070600e-03	7.7242251875e-04	4.4609845412e-03	1.8351054838e-01	5.3645529524e-02	1.2986501886e-01	-3.8109744667e-02	-1.8442810112e-03	5.2595740953e-05	-3.5117111443e-17	5.2595740953e-05	-5.2595740953e-05
0.8               	5.2187157049e-03	7.5223508945e-04	4.4664806154e-03	1.8478833463e-01	5.4073598984e-02	1.3071473564e-01	-3.8320568329e-02	-1.8571227630e-03	5.2448092834e-05	-3.4948533382e-17	5.2448092834e-05	-5.2448092834e-05
1                 	5.2142478536e-03	7.4646626890e-04	4.4677815847e-03	1.8514006546e-01	5.4189619966e-02	1.3095044550e-01	-3.8380412766e-02	-1.8606576579e-03	5.2403190929e-05	-3.4936885732e-17	5.2403190929e-05	-5.2403190929e-05
1.2               	5.2129656968e-03	7.4483976786e-04	4.4681259290e-03	1.8523811747e-01	5.4221484087e-02	1.3101663338e-01	-3.8397574647e-02	-1.8616430805e-03	5.2390305253e-05	-3.4933624971e-17	5.2390305253e-05	-5.2390305253e-05
1.4               	5.2126178681e-03	7.4440776925e-04	4.4682100989e-03	1.8526379749e-01	5.4229936361e-02	1.3103386113e-01	-3.8401962387e-02	-1.8619011648e-03	5.2386809575e-05	-3.4932735856e-17	5.2386809575e-05	-5.2386809575e-05
1.6               	5.2125651178e-03	7.4431072571e-04	4.4682543921e-03	1.8527082917e-01	5.4232194490e-02	1.3103863469e-01	-3.8403220098e-02	-1.8619718332e-03	5.2386279434e-05	-3.4932532785e-17	5.2386279434e-05	-5.2386279434e-05
1.8               	5.2125822237e-03	7.4429573945e-04	4.4682864842e-03	1.8527317138e-01	5.4232788023e-02	1.3104038336e-01	-3.8403797668e-02	-1.8619953724e-03	5.2386451348e-05	-3.4932448136e-17	5.2386451348e-05	-5.2386451348e-05
2                 	5.2125159194e-03	7.4426024616e-04	4.4682556732e-03	1.8527340433e-01	5.4233128514e-02	1.3104027582e-01	-3.8403573652e-02	-1.8619977135e-03	5.2385784990e-05	-3.4932409781e-17	5.2385784990e-05	-5.2385784990e-05
2.2               	5.2124969118e-03	7.4425090232e-04	4.4682460095e-03	1.8527338841e-01	5.4233101312e-02	1.3104028710e-01	-3.8403592896e-02	-1.8619975536e-03	5.2385593963e-05	-3.4932425608e-17	5.2385593963e-05	-5.2385593963e-05
