# y+ ()           
# Time            	patch             	min               	max               	average           
0.2               	airfoil	2.2565239467e+01	6.6730583858e+01	5.2256853813e+01
0.4               	airfoil	2.0954009661e+01	6.6889910204e+01	5.2290640306e+01
0.6               	airfoil	2.1283832463e+01	6.6936245943e+01	5.2410156702e+01
0.8               	airfoil	2.1347279224e+01	6.6948720781e+01	5.2437433499e+01
1                 	airfoil	2.1358725588e+01	6.6952015556e+01	5.2444502050e+01
1.2               	airfoil	2.1362655869e+01	6.6952917755e+01	5.2446340872e+01
1.4               	airfoil	2.1363978363e+01	6.6953162169e+01	5.2446851869e+01
1.6               	airfoil	2.1364339557e+01	6.6953229875e+01	5.2446989748e+01
1.8               	airfoil	2.1364439953e+01	6.6953249284e+01	5.2447027169e+01
2                 	airfoil	2.1364460873e+01	6.6953254947e+01	5.2447037143e+01
2.2               	airfoil	2.1364471864e+01	6.6953255959e+01	5.2447040031e+01
2.4               	airfoil	2.1364472882e+01	6.6953254997e+01	5.2447040799e+01
2.6               	airfoil	2.1364474967e+01	6.6953253218e+01	5.2447040959e+01
2.8               	airfoil	2.1364470936e+01	6.6953251479e+01	5.2447040936e+01
3                 	airfoil	2.1364472994e+01	6.6953250432e+01	5.2447041047e+01
3.2               	airfoil	2.1364473564e+01	6.6953250458e+01	5.2447041043e+01
3.4               	airfoil	2.1364477167e+01	6.6953251549e+01	5.2447041093e+01
3.6               	airfoil	2.1364468724e+01	6.6953253324e+01	5.2447040908e+01
3.8               	airfoil	2.1364475072e+01	6.6953255150e+01	5.2447041079e+01
4                 	airfoil	2.1364473704e+01	6.6953256452e+01	5.2447041029e+01
4.2               	airfoil	2.1364475708e+01	6.6953256740e+01	5.2447041051e+01
4.4               	airfoil	2.1364470570e+01	6.6953255901e+01	5.2447040940e+01
4.6               	airfoil	2.1364474467e+01	6.6953254232e+01	5.2447041079e+01
4.8               	airfoil	2.1364473614e+01	6.6953252306e+01	5.2447041072e+01
5                 	airfoil	2.1364475162e+01	6.6953250837e+01	5.2447041036e+01
