# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.5000000000e+01
# lRef            : 9.8770000000e-01
# Aref            : 9.8770000000e-05
# CofR            : (2.5000000000e-01 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.05              	7.3892042911e-03	2.2653125262e-03	5.1238917649e-03	1.4046859274e-01	2.7052276432e-02	1.1341631631e-01	-4.3182019937e-02	-1.4292896193e-03	7.5186294548e-05	2.2699357551e-17	7.5186294548e-05	-7.5186294548e-05
0.1               	6.5015865112e-03	1.5196639354e-03	4.9819225758e-03	1.7013297807e-01	4.1321309209e-02	1.2881166886e-01	-4.3745179824e-02	-1.7311293202e-03	6.6154646590e-05	2.2081383111e-17	6.6154646590e-05	-6.6154646590e-05
0.15              	6.0547471051e-03	1.1124589921e-03	4.9422881131e-03	1.8819513546e-01	4.9996949723e-02	1.3819818574e-01	-4.4100618008e-02	-1.9149145605e-03	6.1607986642e-05	2.1447963326e-17	6.1607986642e-05	-6.1607986642e-05
0.2               	5.8018869536e-03	8.7275238130e-04	4.9291345723e-03	1.9932779553e-01	5.5265846829e-02	1.4406194870e-01	-4.4398050935e-02	-2.0281910955e-03	5.9035095560e-05	2.1038590818e-17	5.9035095560e-05	-5.9035095560e-05
0.25              	5.6568136219e-03	7.3258793917e-04	4.9242256828e-03	2.0597415917e-01	5.8439468222e-02	1.4753469095e-01	-4.4547611364e-02	-2.0958188718e-03	5.7558952010e-05	2.0749853993e-17	5.7558952010e-05	-5.7558952010e-05
0.3               	5.5929145721e-03	6.5823840406e-04	4.9346761680e-03	2.1014117311e-01	6.0320505633e-02	1.4982066747e-01	-4.4750080921e-02	-2.1382188820e-03	5.6908769312e-05	2.0605250808e-17	5.6908769312e-05	-5.6908769312e-05
0.35              	5.5608055771e-03	6.2524273182e-04	4.9355628453e-03	2.1180612816e-01	6.1386561070e-02	1.5041956709e-01	-4.4516503012e-02	-2.1551600567e-03	5.6582055331e-05	2.0555363030e-17	5.6582055331e-05	-5.6582055331e-05
0.4               	5.5481129989e-03	6.1877973239e-04	4.9293332665e-03	2.1181759829e-01	6.1825617437e-02	1.4999198085e-01	-4.4083181709e-02	-2.1552767671e-03	5.6452906388e-05	2.0160869384e-17	5.6452906388e-05	-5.6452906388e-05
0.45              	5.7511110234e-03	6.7794943960e-04	5.0731615838e-03	2.1597766343e-01	6.1950859877e-02	1.5402680355e-01	-4.6037971836e-02	-2.1976060721e-03	5.8518442630e-05	2.0369041507e-17	5.8518442630e-05	-5.8518442630e-05
0.5               	5.7198224325e-03	6.9356004325e-04	5.0262623893e-03	2.1290597548e-01	6.1706425738e-02	1.5119954974e-01	-4.4746562002e-02	-2.1663511730e-03	5.8200076386e-05	2.1022547468e-17	5.8200076386e-05	-5.8200076386e-05
0.55              	5.4507101498e-03	6.4428567525e-04	4.8064244745e-03	2.0452460159e-01	6.1277065418e-02	1.4324753618e-01	-4.0985235380e-02	-2.0810693996e-03	5.5461817359e-05	1.8856080288e-17	5.5461817359e-05	-5.5461817359e-05
0.6               	5.5976382388e-03	6.9214438065e-04	4.9054938581e-03	2.0704105865e-01	6.1067971258e-02	1.4597308739e-01	-4.2452558068e-02	-2.1066747387e-03	5.6956833350e-05	1.9236682236e-17	5.6956833350e-05	-5.6956833350e-05
0.65              	5.6003050303e-03	6.9475150232e-04	4.9055535280e-03	2.0691587864e-01	6.0641227383e-02	1.4627465126e-01	-4.2816711939e-02	-2.1054010128e-03	5.6983968366e-05	1.9939812487e-17	5.6983968366e-05	-5.6983968365e-05
0.7               	5.6264938472e-03	7.0920407188e-04	4.9172897753e-03	2.0678240046e-01	6.0637633027e-02	1.4614476744e-01	-4.2753567204e-02	-2.1040428517e-03	5.7250443621e-05	2.0271954568e-17	5.7250443621e-05	-5.7250443621e-05
0.75              	5.6774784723e-03	7.1447414612e-04	4.9630043262e-03	2.0876981387e-01	6.0775803082e-02	1.4799401079e-01	-4.3609103855e-02	-2.1242650900e-03	5.7769220054e-05	2.0737980913e-17	5.7769220054e-05	-5.7769220054e-05
0.8               	5.5639897409e-03	6.8814297298e-04	4.8758467679e-03	2.0578084767e-01	6.0718748305e-02	1.4506209937e-01	-4.2171675532e-02	-2.0938518975e-03	5.6614454689e-05	2.0237650466e-17	5.6614454689e-05	-5.6614454689e-05
0.85              	5.5943867955e-03	6.9527299985e-04	4.8991137957e-03	2.0657380866e-01	6.0750145164e-02	1.4582366349e-01	-4.2536759165e-02	-2.1019203979e-03	5.6923749413e-05	2.0760869640e-17	5.6923749413e-05	-5.6923749413e-05
0.9               	5.4950060339e-03	6.6734909200e-04	4.8276569419e-03	2.0443463002e-01	6.0701054265e-02	1.4373357575e-01	-4.1516260744e-02	-2.0801539249e-03	5.5912534819e-05	2.0081343644e-17	5.5912534819e-05	-5.5912534819e-05
0.95              	5.4872019484e-03	6.6995224875e-04	4.8172496997e-03	2.0379530807e-01	6.0595504758e-02	1.4319980332e-01	-4.1302149279e-02	-2.0736487255e-03	5.5833127044e-05	2.0024724889e-17	5.5833127044e-05	-5.5833127044e-05
1                 	5.5159923960e-03	6.7898943499e-04	4.8370029610e-03	2.0432188854e-01	6.0543661997e-02	1.4377822654e-01	-4.1617282271e-02	-2.0790067630e-03	5.6126074293e-05	1.9700073725e-17	5.6126074293e-05	-5.6126074293e-05
1.05              	5.5797729887e-03	6.9601292662e-04	4.8837600621e-03	2.0578297740e-01	6.0559485640e-02	1.4522349176e-01	-4.2332003059e-02	-2.0938735677e-03	5.6775051672e-05	1.9952231744e-17	5.6775051672e-05	-5.6775051672e-05
1.1               	5.6420509093e-03	7.0930537751e-04	4.9327455318e-03	2.0753690748e-01	6.0689446241e-02	1.4684746124e-01	-4.3079007499e-02	-2.1117200771e-03	5.7408739130e-05	1.9942229684e-17	5.7408739130e-05	-5.7408739130e-05
1.15              	5.7053492374e-03	7.3046942113e-04	4.9748798163e-03	2.0856737051e-01	6.0700276355e-02	1.4786709416e-01	-4.3583408902e-02	-2.1222051976e-03	5.8052809392e-05	2.0297078496e-17	5.8052809392e-05	-5.8052809392e-05
1.2               	5.6707395120e-03	7.1765529494e-04	4.9530842171e-03	2.0812602718e-01	6.0691051743e-02	1.4743497544e-01	-4.3371961849e-02	-2.1177144611e-03	5.7700650092e-05	1.9988065669e-17	5.7700650092e-05	-5.7700650092e-05
1.25              	5.6975937528e-03	7.3302490966e-04	4.9645688431e-03	2.0793512155e-01	6.0649626818e-02	1.4728549473e-01	-4.3317933955e-02	-2.1157719667e-03	5.7973896138e-05	1.9268084923e-17	5.7973896138e-05	-5.7973896138e-05
1.3               	5.6287964843e-03	7.1345379868e-04	4.9153426856e-03	2.0647789322e-01	6.0611125735e-02	1.4586676748e-01	-4.2627820873e-02	-2.1009444435e-03	5.7273873309e-05	1.9050461136e-17	5.7273873309e-05	-5.7273873309e-05
1.35              	5.6058922768e-03	7.0548507375e-04	4.9004072030e-03	2.0613555160e-01	6.0525809130e-02	1.4560974247e-01	-4.2541966667e-02	-2.0974610646e-03	5.7040819461e-05	1.9344556327e-17	5.7040819461e-05	-5.7040819461e-05
1.4               	5.6661100934e-03	7.3040924514e-04	4.9357008482e-03	2.0664510032e-01	6.0554336800e-02	1.4609076352e-01	-4.2768213359e-02	-2.1026458016e-03	5.7653545043e-05	2.0415972663e-17	5.7653545043e-05	-5.7653545043e-05
1.45              	5.7029495166e-03	7.3310972586e-04	4.9698397908e-03	2.0818996443e-01	6.0461380103e-02	1.4772858433e-01	-4.3633602114e-02	-2.1183650325e-03	5.8028391862e-05	2.0301603995e-17	5.8028391862e-05	-5.8028391862e-05
1.5               	5.6816130870e-03	7.2159699140e-04	4.9600160956e-03	2.0827296265e-01	6.0651673603e-02	1.4762128905e-01	-4.3484807722e-02	-2.1192095521e-03	5.7811290397e-05	2.0874324975e-17	5.7811290397e-05	-5.7811290397e-05
1.55              	5.6659232421e-03	7.2523357497e-04	4.9406896671e-03	2.0714457623e-01	6.0675680996e-02	1.4646889523e-01	-4.2896607119e-02	-2.1077280461e-03	5.7651643802e-05	2.1335624057e-17	5.7651643802e-05	-5.7651643802e-05
1.6               	5.5088716410e-03	6.8817702990e-04	4.8206946111e-03	2.0306903557e-01	6.0250436782e-02	1.4281859879e-01	-4.1284081003e-02	-2.0662587906e-03	5.6053619512e-05	1.9943506591e-17	5.6053619512e-05	-5.6053619512e-05
1.65              	5.6415284253e-03	7.2149492126e-04	4.9200335041e-03	2.0631326160e-01	6.0374299306e-02	1.4593896230e-01	-4.2782331496e-02	-2.0992692914e-03	5.7403422775e-05	2.0742328291e-17	5.7403422775e-05	-5.7403422775e-05
1.7               	5.5074521703e-03	6.7488619360e-04	4.8325659767e-03	2.0430548865e-01	6.0422676490e-02	1.4388281216e-01	-4.1730067833e-02	-2.0788398916e-03	5.6039176179e-05	1.9903767834e-17	5.6039176179e-05	-5.6039176179e-05
1.75              	5.6938517451e-03	7.3281791892e-04	4.9610338261e-03	2.0777158465e-01	6.0561764705e-02	1.4720981995e-01	-4.3324027622e-02	-2.1141079536e-03	5.7935820632e-05	1.8881247216e-17	5.7935820632e-05	-5.7935820632e-05
1.8               	5.6234393495e-03	7.1775751865e-04	4.9056818309e-03	2.0579168374e-01	6.0386019746e-02	1.4540566399e-01	-4.2509822124e-02	-2.0939621561e-03	5.7219363635e-05	2.0141699078e-17	5.7219363635e-05	-5.7219363635e-05
1.85              	5.7903313815e-03	7.5992588777e-04	5.0304054937e-03	2.0984839337e-01	6.0553349369e-02	1.4929504400e-01	-4.4370847318e-02	-2.1352398030e-03	5.8917515829e-05	2.1050771056e-17	5.8917515829e-05	-5.8917515829e-05
1.9               	5.6082770348e-03	7.1613356920e-04	4.8921434656e-03	2.0520621765e-01	6.0308872873e-02	1.4489734477e-01	-4.2294235950e-02	-2.0880049482e-03	5.7065084742e-05	2.0213014618e-17	5.7065084742e-05	-5.7065084742e-05
1.95              	5.7703136866e-03	7.6809923912e-04	5.0022144474e-03	2.0806147220e-01	6.0345093695e-02	1.4771637851e-01	-4.3685642406e-02	-2.1170576042e-03	5.8713832692e-05	1.9620442772e-17	5.8713832692e-05	-5.8713832692e-05
2                 	5.5815092823e-03	7.1670382282e-04	4.8648054594e-03	2.0383482520e-01	6.0224677104e-02	1.4361014810e-01	-4.1692735496e-02	-2.0740508183e-03	5.6792718727e-05	2.0239376167e-17	5.6792718727e-05	-5.6792718727e-05
2.05              	5.7121220434e-03	7.4546068341e-04	4.9666613600e-03	2.0742686111e-01	6.0261060725e-02	1.4716580038e-01	-4.3452369829e-02	-2.1106003383e-03	5.8121723738e-05	1.9562184873e-17	5.8121723738e-05	-5.8121723738e-05
2.1               	5.6198022530e-03	7.1769812644e-04	4.9021041265e-03	2.0561879633e-01	6.0278492597e-02	1.4534030374e-01	-4.2530905569e-02	-2.0922030000e-03	5.7182355616e-05	2.0275627472e-17	5.7182355616e-05	-5.7182355616e-05
