# y+ ()           
# Time            	patch             	min               	max               	average           
2                 	movingWall	6.1459349856e-01	2.7584244279e+00	1.0174022809e+00
2                 	fixedWalls	8.4084613562e-04	2.1705130871e+00	1.8755249700e-01
4                 	movingWall	6.3897327607e-01	2.7584188343e+00	1.0201330583e+00
4                 	fixedWalls	8.4526915936e-04	2.1715039118e+00	2.0663821728e-01
6                 	movingWall	6.4243378952e-01	2.7584158771e+00	1.0207382287e+00
6                 	fixedWalls	9.9120132727e-04	2.1716663125e+00	2.1801810616e-01
8                 	movingWall	6.4015407742e-01	2.7584129560e+00	1.0208729544e+00
8                 	fixedWalls	1.0492484155e-03	2.1714534894e+00	2.2682077851e-01
10                	movingWall	6.3867963027e-01	2.7584098654e+00	1.0203639904e+00
10                	fixedWalls	7.7082407284e-04	2.1713421069e+00	2.2965096279e-01
12                	movingWall	6.3639547072e-01	2.7584066963e+00	1.0199342388e+00
12                	fixedWalls	8.5091394174e-04	2.1710939693e+00	2.3614695113e-01
14                	movingWall	6.3216940558e-01	2.7584048451e+00	1.0200052359e+00
14                	fixedWalls	8.2810232573e-04	2.1705722616e+00	2.4145368986e-01
16                	movingWall	6.5322692905e-01	2.7584036830e+00	1.0245796351e+00
16                	fixedWalls	8.5936069541e-04	2.1732034774e+00	2.4816796421e-01
18                	movingWall	6.2648385682e-01	2.7583985684e+00	1.0159691252e+00
18                	fixedWalls	1.3341380666e-03	2.1694061818e+00	2.4238532809e-01
20                	movingWall	6.2225783296e-01	2.7583934909e+00	1.0173300604e+00
20                	fixedWalls	1.0981336882e-03	2.1695213916e+00	2.5889777068e-01
22                	movingWall	6.2745988429e-01	2.7584001901e+00	1.0206138135e+00
22                	fixedWalls	3.2788028360e-03	2.1700981531e+00	2.7393248821e-01
24                	movingWall	6.5006332644e-01	2.7583867425e+00	1.0210064949e+00
24                	fixedWalls	3.3389350913e-03	2.1730361645e+00	2.8547205277e-01
26                	movingWall	6.1758145509e-01	2.7584097855e+00	1.0211931446e+00
26                	fixedWalls	1.8707372427e-03	2.1681261761e+00	2.7013642284e-01
28                	movingWall	6.5822871292e-01	2.7583933155e+00	1.0238668809e+00
28                	fixedWalls	1.8733992823e-03	2.1741894349e+00	2.9500908800e-01
30                	movingWall	6.3163011155e-01	2.7583757890e+00	1.0225335931e+00
30                	fixedWalls	2.1349824599e-03	2.1702576409e+00	2.9676646707e-01
32                	movingWall	6.5676378767e-01	2.7583268401e+00	1.0289456095e+00
32                	fixedWalls	2.0625072286e-03	2.1736377659e+00	2.9858497052e-01
34                	movingWall	6.3984718179e-01	2.7583190688e+00	1.0243019233e+00
34                	fixedWalls	3.6914329507e-03	2.1713129132e+00	2.9290113312e-01
36                	movingWall	6.3885757564e-01	2.7582586738e+00	1.0248433879e+00
36                	fixedWalls	1.7464637526e-03	2.1726068352e+00	2.9821119219e-01
38                	movingWall	6.3117370889e-01	2.7582704988e+00	1.0279067674e+00
38                	fixedWalls	1.2538762169e-03	2.1730153154e+00	2.9293400680e-01
40                	movingWall	6.4450821792e-01	2.7582254914e+00	1.0280511121e+00
40                	fixedWalls	1.9529228012e-03	2.1729428399e+00	2.8967613557e-01
42                	movingWall	6.3473434565e-01	2.7582327526e+00	1.0279893507e+00
42                	fixedWalls	7.4688990658e-04	2.1737323982e+00	3.0669230677e-01
44                	movingWall	6.3813440589e-01	2.7582769269e+00	1.0282095875e+00
44                	fixedWalls	3.4520037657e-03	2.1740030586e+00	3.0137757824e-01
46                	movingWall	6.2194547354e-01	2.7582126576e+00	1.0257569270e+00
46                	fixedWalls	1.6940599222e-03	2.1730829313e+00	3.0645230933e-01
48                	movingWall	6.3007522254e-01	2.7582775261e+00	1.0277084959e+00
48                	fixedWalls	2.3531130319e-03	2.1740757566e+00	3.0112027098e-01
50                	movingWall	6.2504066123e-01	2.7582536572e+00	1.0280394213e+00
50                	fixedWalls	2.0962486910e-03	2.1741005922e+00	3.1481944968e-01
52                	movingWall	6.3274921124e-01	2.7582388373e+00	1.0306291167e+00
52                	fixedWalls	3.8985322626e-03	2.1753876547e+00	3.3059457175e-01
54                	movingWall	6.3893111886e-01	2.7582064118e+00	1.0294208978e+00
54                	fixedWalls	2.6330020629e-03	2.1747654091e+00	3.1766889694e-01
56                	movingWall	6.3053067016e-01	2.7582631340e+00	1.0292369152e+00
56                	fixedWalls	2.8505320927e-03	2.1760521136e+00	3.1815092259e-01
58                	movingWall	6.2607863358e-01	2.7582510201e+00	1.0299544003e+00
58                	fixedWalls	1.0812845052e-03	2.1744718666e+00	3.0892540674e-01
60                	movingWall	6.2851508013e-01	2.7582324216e+00	1.0326070062e+00
60                	fixedWalls	1.9557272716e-03	2.1765482682e+00	3.0826499860e-01
62                	movingWall	6.4213061045e-01	2.7582102890e+00	1.0329673805e+00
62                	fixedWalls	3.8956236012e-03	2.1754816612e+00	3.2389566285e-01
64                	movingWall	6.3280219182e-01	2.7581849856e+00	1.0324053721e+00
64                	fixedWalls	2.8483102013e-03	2.1759476198e+00	3.2339455664e-01
66                	movingWall	6.3028914218e-01	2.7582665160e+00	1.0300593927e+00
66                	fixedWalls	1.1797374070e-03	2.1744288889e+00	3.0833139469e-01
68                	movingWall	6.1771519907e-01	2.7583079476e+00	1.0290143842e+00
68                	fixedWalls	1.9435337361e-03	2.1757182983e+00	3.1465027312e-01
70                	movingWall	6.2416132661e-01	2.7582657216e+00	1.0299697589e+00
70                	fixedWalls	1.1166321273e-03	2.1763302254e+00	3.0449511851e-01
72                	movingWall	6.2209334022e-01	2.7582660025e+00	1.0307094869e+00
72                	fixedWalls	1.2552468444e-03	2.1761982967e+00	3.1658758520e-01
74                	movingWall	6.3380190452e-01	2.7582459195e+00	1.0336618717e+00
74                	fixedWalls	4.7091478708e-04	2.1758544081e+00	2.9946333984e-01
76                	movingWall	6.2305335196e-01	2.7582686457e+00	1.0301365474e+00
76                	fixedWalls	8.6378022307e-04	2.1760590593e+00	2.9829490371e-01
78                	movingWall	6.2774060122e-01	2.7582236633e+00	1.0339920557e+00
78                	fixedWalls	2.0385936755e-03	2.1764274314e+00	3.0178091306e-01
80                	movingWall	6.1973694666e-01	2.7582904974e+00	1.0308561819e+00
80                	fixedWalls	3.3898529138e-04	2.1755869262e+00	3.0512127181e-01
82                	movingWall	6.3220997242e-01	2.7581881962e+00	1.0340799922e+00
82                	fixedWalls	3.0279595667e-04	2.1766640768e+00	3.1710706223e-01
84                	movingWall	6.2326919713e-01	2.7582735852e+00	1.0319559094e+00
84                	fixedWalls	2.4219034511e-03	2.1759310926e+00	3.0327769156e-01
86                	movingWall	6.1374478018e-01	2.7583440662e+00	1.0281969217e+00
86                	fixedWalls	1.0623105951e-03	2.1752602461e+00	3.0142551515e-01
88                	movingWall	6.2164269348e-01	2.7582610931e+00	1.0330143598e+00
88                	fixedWalls	1.4061753461e-03	2.1767373233e+00	2.9742335099e-01
90                	movingWall	6.2948966394e-01	2.7582016170e+00	1.0340985332e+00
90                	fixedWalls	2.1546864745e-03	2.1768234995e+00	3.1839277225e-01
92                	movingWall	6.1237206439e-01	2.7582833602e+00	1.0307588742e+00
92                	fixedWalls	2.7884757120e-03	2.1763230418e+00	3.0718775064e-01
94                	movingWall	6.3240543819e-01	2.7582145205e+00	1.0343006207e+00
94                	fixedWalls	1.9514427816e-03	2.1775121374e+00	3.0263739211e-01
96                	movingWall	6.2015914490e-01	2.7582580705e+00	1.0334519039e+00
96                	fixedWalls	2.6682547688e-03	2.1767189698e+00	3.0207310686e-01
98                	movingWall	6.1601753847e-01	2.7582859757e+00	1.0305506962e+00
98                	fixedWalls	1.9038011540e-03	2.1767615194e+00	3.0692304140e-01
