# y+ ()       
# Time        	patch         	min           	max           	average       
1             	movingWall	6.805395e-01	2.779540e+00	1.042976e+00
1             	fixedWalls	9.380384e-04	2.196203e+00	1.732234e-01
2             	movingWall	6.294174e-01	2.779163e+00	1.030529e+00
2             	fixedWalls	8.655170e-04	2.183895e+00	1.917091e-01
3             	movingWall	6.432808e-01	2.779123e+00	1.032236e+00
3             	fixedWalls	6.717241e-04	2.184639e+00	2.031137e-01
4             	movingWall	6.516227e-01	2.779121e+00	1.033203e+00
4             	fixedWalls	9.820032e-04	2.185022e+00	2.111896e-01
5             	movingWall	6.536761e-01	2.779120e+00	1.033601e+00
5             	fixedWalls	7.143381e-04	2.185189e+00	2.174329e-01
6             	movingWall	6.523403e-01	2.779118e+00	1.033519e+00
6             	fixedWalls	1.130371e-03	2.185076e+00	2.226810e-01
7             	movingWall	6.511700e-01	2.779117e+00	1.033577e+00
7             	fixedWalls	9.991966e-04	2.184984e+00	2.275488e-01
8             	movingWall	6.524970e-01	2.779115e+00	1.033991e+00
8             	fixedWalls	9.000628e-04	2.185137e+00	2.307744e-01
9             	movingWall	6.515943e-01	2.779114e+00	1.033604e+00
9             	fixedWalls	4.041475e-04	2.185069e+00	2.319880e-01
10            	movingWall	6.483951e-01	2.779112e+00	1.032992e+00
10            	fixedWalls	2.123750e-04	2.184732e+00	2.353248e-01
11            	movingWall	6.473056e-01	2.779111e+00	1.032809e+00
11            	fixedWalls	8.909905e-04	2.184643e+00	2.386195e-01
12            	movingWall	6.466664e-01	2.779110e+00	1.032690e+00
12            	fixedWalls	6.936825e-04	2.184595e+00	2.411389e-01
13            	movingWall	6.462420e-01	2.779109e+00	1.032981e+00
13            	fixedWalls	1.353069e-03	2.184553e+00	2.452477e-01
14            	movingWall	6.482360e-01	2.779109e+00	1.034216e+00
14            	fixedWalls	1.507423e-03	2.184748e+00	2.476904e-01
15            	movingWall	6.551911e-01	2.779108e+00	1.035493e+00
15            	fixedWalls	1.121333e-03	2.185481e+00	2.487090e-01
16            	movingWall	6.555068e-01	2.779106e+00	1.033398e+00
16            	fixedWalls	1.399329e-03	2.185593e+00	2.452632e-01
17            	movingWall	6.393745e-01	2.779105e+00	1.029886e+00
17            	fixedWalls	7.722222e-04	2.183569e+00	2.435007e-01
18            	movingWall	6.349656e-01	2.779075e+00	1.029778e+00
18            	fixedWalls	7.622630e-04	2.183249e+00	2.434056e-01
19            	movingWall	6.370930e-01	2.779075e+00	1.030650e+00
19            	fixedWalls	6.924957e-04	2.183713e+00	2.436205e-01
20            	movingWall	6.392771e-01	2.779077e+00	1.032166e+00
20            	fixedWalls	1.250469e-03	2.183959e+00	2.565195e-01
21            	movingWall	6.397414e-01	2.779081e+00	1.033627e+00
21            	fixedWalls	5.679233e-04	2.183955e+00	2.652566e-01
22            	movingWall	6.503537e-01	2.779078e+00	1.037050e+00
22            	fixedWalls	1.076491e-03	2.184933e+00	2.692406e-01
23            	movingWall	6.715739e-01	2.779107e+00	1.039508e+00
23            	fixedWalls	1.256654e-03	2.187551e+00	2.736598e-01
24            	movingWall	6.638519e-01	2.779137e+00	1.036754e+00
24            	fixedWalls	8.033341e-04	2.186166e+00	2.673258e-01
25            	movingWall	6.562997e-01	2.779133e+00	1.034683e+00
25            	fixedWalls	1.193947e-03	2.185313e+00	2.675819e-01
26            	movingWall	6.478647e-01	2.779100e+00	1.029404e+00
26            	fixedWalls	1.708920e-03	2.184871e+00	2.815005e-01
27            	movingWall	6.270934e-01	2.779059e+00	1.028151e+00
27            	fixedWalls	3.807424e-03	2.182085e+00	3.006108e-01
28            	movingWall	6.358153e-01	2.779033e+00	1.033342e+00
28            	fixedWalls	2.826357e-03	2.183698e+00	2.966124e-01
29            	movingWall	6.418015e-01	2.779048e+00	1.035976e+00
29            	fixedWalls	1.384052e-03	2.184325e+00	2.914637e-01
30            	movingWall	6.491244e-01	2.779058e+00	1.039923e+00
30            	fixedWalls	1.700295e-03	2.184851e+00	2.840980e-01
31            	movingWall	6.667373e-01	2.779018e+00	1.041448e+00
31            	fixedWalls	1.541760e-03	2.187203e+00	2.834897e-01
32            	movingWall	6.620845e-01	2.779056e+00	1.036099e+00
32            	fixedWalls	2.003950e-03	2.186460e+00	2.838314e-01
33            	movingWall	6.463069e-01	2.779056e+00	1.034173e+00
33            	fixedWalls	2.153782e-03	2.184198e+00	2.879814e-01
34            	movingWall	6.488236e-01	2.778950e+00	1.039754e+00
34            	fixedWalls	8.471759e-04	2.187045e+00	2.922970e-01
35            	movingWall	6.539401e-01	2.778975e+00	1.039118e+00
35            	fixedWalls	1.640011e-03	2.186676e+00	2.968804e-01
36            	movingWall	6.522748e-01	2.779003e+00	1.038298e+00
36            	fixedWalls	5.078167e-04	2.185888e+00	2.961747e-01
37            	movingWall	6.557433e-01	2.778970e+00	1.039008e+00
37            	fixedWalls	1.606474e-03	2.186436e+00	2.956352e-01
38            	movingWall	6.552544e-01	2.778985e+00	1.038665e+00
38            	fixedWalls	2.797397e-03	2.187176e+00	2.939597e-01
39            	movingWall	6.540312e-01	2.779021e+00	1.039021e+00
39            	fixedWalls	1.886324e-03	2.187212e+00	2.915391e-01
40            	movingWall	6.518424e-01	2.778963e+00	1.037806e+00
40            	fixedWalls	9.798207e-04	2.186574e+00	2.909323e-01
41            	movingWall	6.480126e-01	2.778968e+00	1.035561e+00
41            	fixedWalls	1.665183e-03	2.185778e+00	3.041117e-01
42            	movingWall	6.313292e-01	2.778939e+00	1.037773e+00
42            	fixedWalls	2.001199e-03	2.187245e+00	3.059605e-01
43            	movingWall	6.365075e-01	2.779010e+00	1.039043e+00
43            	fixedWalls	2.325509e-03	2.187952e+00	2.960835e-01
44            	movingWall	6.419897e-01	2.778977e+00	1.040814e+00
44            	fixedWalls	2.751987e-03	2.187608e+00	2.967324e-01
45            	movingWall	6.475295e-01	2.778954e+00	1.039095e+00
45            	fixedWalls	2.010168e-03	2.186842e+00	3.070076e-01
46            	movingWall	6.406663e-01	2.778987e+00	1.039164e+00
46            	fixedWalls	5.331734e-03	2.187940e+00	3.217735e-01
47            	movingWall	6.374808e-01	2.779034e+00	1.039166e+00
47            	fixedWalls	2.577745e-03	2.188433e+00	3.137288e-01
48            	movingWall	6.448009e-01	2.778987e+00	1.042144e+00
48            	fixedWalls	4.071017e-03	2.188389e+00	3.204555e-01
49            	movingWall	6.471036e-01	2.779000e+00	1.039869e+00
49            	fixedWalls	2.305227e-03	2.187743e+00	3.081550e-01
50            	movingWall	6.443296e-01	2.778943e+00	1.040355e+00
50            	fixedWalls	1.533176e-03	2.188123e+00	3.232226e-01
51            	movingWall	6.361563e-01	2.779039e+00	1.038184e+00
51            	fixedWalls	1.949892e-03	2.189251e+00	3.173087e-01
52            	movingWall	6.322421e-01	2.779036e+00	1.038832e+00
52            	fixedWalls	4.354003e-03	2.187967e+00	3.285618e-01
53            	movingWall	6.434021e-01	2.779008e+00	1.040460e+00
53            	fixedWalls	3.340011e-03	2.187675e+00	3.062243e-01
54            	movingWall	6.383487e-01	2.778948e+00	1.039936e+00
54            	fixedWalls	3.608343e-03	2.188686e+00	3.151238e-01
55            	movingWall	6.327603e-01	2.779013e+00	1.040569e+00
55            	fixedWalls	1.913939e-03	2.188756e+00	3.106993e-01
56            	movingWall	6.311036e-01	2.779078e+00	1.040526e+00
56            	fixedWalls	1.575258e-03	2.189585e+00	3.118747e-01
57            	movingWall	6.447708e-01	2.779086e+00	1.042351e+00
57            	fixedWalls	2.869191e-03	2.188435e+00	3.125683e-01
58            	movingWall	6.424397e-01	2.778983e+00	1.041652e+00
58            	fixedWalls	5.594205e-04	2.189313e+00	3.138853e-01
59            	movingWall	6.361780e-01	2.779026e+00	1.040545e+00
59            	fixedWalls	2.988744e-03	2.188757e+00	3.127164e-01
60            	movingWall	6.353938e-01	2.779036e+00	1.039989e+00
60            	fixedWalls	2.347513e-03	2.189578e+00	3.098359e-01
61            	movingWall	6.354418e-01	2.779037e+00	1.039144e+00
61            	fixedWalls	1.116460e-03	2.187823e+00	3.017273e-01
62            	movingWall	6.339729e-01	2.778949e+00	1.039297e+00
62            	fixedWalls	1.274001e-03	2.188631e+00	3.174791e-01
63            	movingWall	6.282596e-01	2.778998e+00	1.041284e+00
63            	fixedWalls	1.940882e-03	2.189282e+00	3.136747e-01
64            	movingWall	6.235044e-01	2.779085e+00	1.040563e+00
64            	fixedWalls	1.907819e-03	2.189390e+00	3.067855e-01
65            	movingWall	6.418481e-01	2.779005e+00	1.044240e+00
65            	fixedWalls	1.430270e-03	2.189485e+00	3.068503e-01
66            	movingWall	6.370944e-01	2.779026e+00	1.040537e+00
66            	fixedWalls	1.615492e-03	2.189296e+00	3.277290e-01
67            	movingWall	6.343668e-01	2.779017e+00	1.041490e+00
67            	fixedWalls	2.233000e-03	2.189489e+00	3.252586e-01
68            	movingWall	6.263461e-01	2.779086e+00	1.040147e+00
68            	fixedWalls	1.945798e-03	2.188984e+00	3.140573e-01
69            	movingWall	6.369176e-01	2.779007e+00	1.044076e+00
69            	fixedWalls	1.437547e-03	2.189515e+00	3.076826e-01
70            	movingWall	6.417104e-01	2.778990e+00	1.041138e+00
70            	fixedWalls	1.460961e-03	2.189861e+00	3.121175e-01
71            	movingWall	6.255945e-01	2.779088e+00	1.038785e+00
71            	fixedWalls	4.452788e-04	2.189516e+00	3.028351e-01
72            	movingWall	6.198798e-01	2.779150e+00	1.040570e+00
72            	fixedWalls	1.721183e-03	2.188905e+00	3.180618e-01
73            	movingWall	6.382596e-01	2.778988e+00	1.044783e+00
73            	fixedWalls	9.457102e-04	2.190090e+00	2.966630e-01
74            	movingWall	6.402971e-01	2.779038e+00	1.041796e+00
74            	fixedWalls	1.282142e-03	2.190006e+00	3.118578e-01
75            	movingWall	6.276407e-01	2.779090e+00	1.040220e+00
75            	fixedWalls	1.618255e-03	2.189444e+00	3.149439e-01
76            	movingWall	6.234828e-01	2.779078e+00	1.040389e+00
76            	fixedWalls	1.787995e-03	2.189324e+00	3.198918e-01
77            	movingWall	6.375195e-01	2.778974e+00	1.044667e+00
77            	fixedWalls	4.949317e-04	2.189882e+00	3.141188e-01
78            	movingWall	6.263894e-01	2.779059e+00	1.040992e+00
78            	fixedWalls	1.799718e-03	2.190190e+00	3.070657e-01
79            	movingWall	6.378437e-01	2.778994e+00	1.042876e+00
79            	fixedWalls	1.529046e-03	2.189241e+00	3.113766e-01
80            	movingWall	6.296109e-01	2.779018e+00	1.041277e+00
80            	fixedWalls	1.508323e-03	2.190807e+00	3.047724e-01
81            	movingWall	6.222488e-01	2.779153e+00	1.039983e+00
81            	fixedWalls	2.054311e-03	2.188713e+00	3.075211e-01
82            	movingWall	6.348522e-01	2.778969e+00	1.043759e+00
82            	fixedWalls	1.641873e-03	2.190017e+00	3.003804e-01
83            	movingWall	6.305437e-01	2.779042e+00	1.042284e+00
83            	fixedWalls	1.764189e-03	2.190419e+00	3.061912e-01
84            	movingWall	6.216996e-01	2.779132e+00	1.040606e+00
84            	fixedWalls	7.664804e-04	2.189368e+00	3.111718e-01
85            	movingWall	6.345335e-01	2.778964e+00	1.044030e+00
85            	fixedWalls	1.225540e-03	2.190186e+00	3.155302e-01
86            	movingWall	6.307188e-01	2.779036e+00	1.042367e+00
86            	fixedWalls	1.565607e-03	2.190155e+00	3.015451e-01
87            	movingWall	6.233871e-01	2.779103e+00	1.040055e+00
87            	fixedWalls	2.302960e-03	2.189472e+00	3.032056e-01
88            	movingWall	6.404041e-01	2.778958e+00	1.044426e+00
88            	fixedWalls	2.004384e-03	2.189876e+00	3.061569e-01
89            	movingWall	6.236935e-01	2.779067e+00	1.039606e+00
89            	fixedWalls	1.144865e-03	2.190106e+00	3.008318e-01
90            	movingWall	6.268172e-01	2.779047e+00	1.042456e+00
90            	fixedWalls	1.589545e-03	2.189463e+00	3.087795e-01
91            	movingWall	6.268782e-01	2.779000e+00	1.042807e+00
91            	fixedWalls	1.692965e-03	2.190271e+00	3.024953e-01
92            	movingWall	6.250784e-01	2.779044e+00	1.042659e+00
92            	fixedWalls	1.249079e-03	2.190396e+00	2.981461e-01
93            	movingWall	6.309646e-01	2.779062e+00	1.043301e+00
93            	fixedWalls	1.273526e-03	2.189766e+00	3.085995e-01
94            	movingWall	6.326510e-01	2.778974e+00	1.043171e+00
94            	fixedWalls	1.463869e-03	2.190724e+00	3.033118e-01
95            	movingWall	6.226653e-01	2.779094e+00	1.040538e+00
95            	fixedWalls	2.105755e-03	2.189519e+00	3.010925e-01
96            	movingWall	6.285357e-01	2.778993e+00	1.042804e+00
96            	fixedWalls	1.142690e-03	2.189755e+00	3.054848e-01
97            	movingWall	6.319035e-01	2.778985e+00	1.043022e+00
97            	fixedWalls	2.204708e-03	2.190544e+00	3.043207e-01
98            	movingWall	6.193757e-01	2.779108e+00	1.040564e+00
98            	fixedWalls	1.090262e-03	2.189632e+00	3.059249e-01
99            	movingWall	6.260467e-01	2.778995e+00	1.043596e+00
99            	fixedWalls	2.176298e-03	2.190189e+00	3.044346e-01
100           	movingWall	6.329223e-01	2.778991e+00	1.044371e+00
100           	fixedWalls	1.456559e-03	2.190503e+00	2.968031e-01
