"UMean:0","UMean:1","UMean:2","Points:1"
0.0,0.0,0.0,0.0
5.4138e-07,-2.2026e-09,0.14658,0.1
1.0828e-06,-4.4052e-09,0.29317,0.2
1.6241e-06,-6.6078e-09,0.43975,0.3
2.0879e-06,-9.5029e-09,0.56955,0.4
2.3938e-06,-1.3806e-08,0.66522,0.5
2.6998e-06,-1.8108e-08,0.76089,0.6
3.0058e-06,-2.2411e-08,0.85656,0.7
3.3117e-06,-2.6713e-08,0.95223,0.8
3.5169e-06,-3.162e-08,1.0196,0.9
3.6518e-06,-3.6948e-08,1.0674,1.0
3.7868e-06,-4.2276e-08,1.1151,1.1
3.9217e-06,-4.7604e-08,1.1629,1.2
4.0567e-06,-5.2931e-08,1.2106,1.3
4.1916e-06,-5.8259e-08,1.2584,1.4
4.2978e-06,-6.3864e-08,1.2975,1.5
4.3711e-06,-6.9784e-08,1.3267,1.6
4.4444e-06,-7.5704e-08,1.3559,1.7
4.5177e-06,-8.1624e-08,1.3851,1.8
4.591e-06,-8.7544e-08,1.4144,1.9
4.6643e-06,-9.3464e-08,1.4436,2.0
4.7376e-06,-9.9384e-08,1.4728,2.1
4.8109e-06,-1.053e-07,1.502,2.2
4.8664e-06,-1.1139e-07,1.5258,2.3
4.908e-06,-1.1761e-07,1.5451,2.4
4.9496e-06,-1.2383e-07,1.5645,2.5
4.9911e-06,-1.3005e-07,1.5839,2.6
5.0327e-06,-1.3627e-07,1.6032,2.7
5.0743e-06,-1.4249e-07,1.6226,2.8
5.1159e-06,-1.4871e-07,1.642,2.9
5.1574e-06,-1.5493e-07,1.6613,3.0
5.199e-06,-1.6115e-07,1.6807,3.1
5.2406e-06,-1.6737e-07,1.7001,3.2
5.2758e-06,-1.7359e-07,1.7174,3.3
5.2989e-06,-1.7982e-07,1.7309,3.4
5.322e-06,-1.8605e-07,1.7444,3.5
5.3451e-06,-1.9227e-07,1.7579,3.6
5.3682e-06,-1.985e-07,1.7714,3.7
5.3913e-06,-2.0472e-07,1.7849,3.8
5.4145e-06,-2.1095e-07,1.7984,3.9
5.4376e-06,-2.1718e-07,1.8119,4.0
5.4607e-06,-2.234e-07,1.8254,4.1
5.4838e-06,-2.2963e-07,1.8389,4.2
5.5069e-06,-2.3585e-07,1.8524,4.3
5.53e-06,-2.4208e-07,1.8659,4.4
5.5532e-06,-2.4831e-07,1.8794,4.5
5.5745e-06,-2.545e-07,1.8923,4.6
5.5862e-06,-2.605e-07,1.902,4.7
5.5979e-06,-2.6651e-07,1.9117,4.8
5.6096e-06,-2.7252e-07,1.9215,4.9
5.6214e-06,-2.7852e-07,1.9312,5.0
5.6331e-06,-2.8453e-07,1.9409,5.1
5.6448e-06,-2.9054e-07,1.9507,5.2
5.6565e-06,-2.9654e-07,1.9604,5.3
5.6682e-06,-3.0255e-07,1.9701,5.4
5.68e-06,-3.0856e-07,1.9799,5.5
5.6917e-06,-3.1456e-07,1.9896,5.6
5.7034e-06,-3.2057e-07,1.9993,5.7
5.7151e-06,-3.2658e-07,2.009,5.8
5.7268e-06,-3.3258e-07,2.0188,5.9
5.7386e-06,-3.3859e-07,2.0285,6.0
5.7503e-06,-3.4459e-07,2.0382,6.1
5.762e-06,-3.506e-07,2.048,6.2
5.7728e-06,-3.5656e-07,2.0574,6.3
5.7775e-06,-3.6218e-07,2.0646,6.4
5.7821e-06,-3.6781e-07,2.0718,6.5
5.7868e-06,-3.7343e-07,2.0789,6.6
5.7914e-06,-3.7905e-07,2.0861,6.7
5.7961e-06,-3.8468e-07,2.0933,6.8
5.8007e-06,-3.903e-07,2.1005,6.9
5.8054e-06,-3.9592e-07,2.1077,7.0
5.81e-06,-4.0155e-07,2.1148,7.1
5.8146e-06,-4.0717e-07,2.122,7.2
5.8193e-06,-4.1279e-07,2.1292,7.3
5.8239e-06,-4.1842e-07,2.1364,7.4
5.8286e-06,-4.2404e-07,2.1436,7.5
5.8332e-06,-4.2966e-07,2.1508,7.6
5.8379e-06,-4.3529e-07,2.1579,7.7
5.8425e-06,-4.4091e-07,2.1651,7.8
5.8471e-06,-4.4653e-07,2.1723,7.9
5.8518e-06,-4.5216e-07,2.1795,8.0
5.8564e-06,-4.5778e-07,2.1867,8.1
5.8611e-06,-4.634e-07,2.1939,8.2
5.8657e-06,-4.6903e-07,2.201,8.3
5.8704e-06,-4.7465e-07,2.2082,8.4
5.8745e-06,-4.8022e-07,2.2152,8.5
5.8751e-06,-4.8538e-07,2.2206,8.6
5.8757e-06,-4.9054e-07,2.226,8.7
5.8763e-06,-4.957e-07,2.2314,8.8
5.8769e-06,-5.0086e-07,2.2368,8.9
5.8775e-06,-5.0602e-07,2.2421,9.0
5.8781e-06,-5.1118e-07,2.2475,9.1
5.8787e-06,-5.1634e-07,2.2529,9.2
5.8793e-06,-5.215e-07,2.2583,9.3
5.8799e-06,-5.2666e-07,2.2637,9.4
5.8805e-06,-5.3182e-07,2.2691,9.5
5.8811e-06,-5.3698e-07,2.2745,9.6
5.8817e-06,-5.4214e-07,2.2799,9.7
5.8823e-06,-5.473e-07,2.2853,9.8
5.8829e-06,-5.5246e-07,2.2907,9.9
5.8835e-06,-5.5762e-07,2.2961,10.0
5.8841e-06,-5.6278e-07,2.3015,10.1
5.8847e-06,-5.6794e-07,2.3069,10.2
5.8853e-06,-5.731e-07,2.3123,10.3
5.8859e-06,-5.7826e-07,2.3176,10.4
5.8865e-06,-5.8342e-07,2.323,10.5
5.8871e-06,-5.8858e-07,2.3284,10.6
5.8877e-06,-5.9374e-07,2.3338,10.7
5.8883e-06,-5.989e-07,2.3392,10.8
5.8889e-06,-6.0406e-07,2.3446,10.9
5.8895e-06,-6.0922e-07,2.35,11.0
5.8901e-06,-6.1438e-07,2.3554,11.1
5.8907e-06,-6.1954e-07,2.3608,11.2
5.8912e-06,-6.247e-07,2.3662,11.3
5.8908e-06,-6.294e-07,2.3705,11.4
5.89e-06,-6.3391e-07,2.3744,11.5
5.8891e-06,-6.3841e-07,2.3783,11.6
5.8883e-06,-6.4291e-07,2.3822,11.7
5.8874e-06,-6.4742e-07,2.3861,11.8
5.8865e-06,-6.5192e-07,2.39,11.9
5.8857e-06,-6.5643e-07,2.3939,12.0
5.8848e-06,-6.6093e-07,2.3977,12.1
5.884e-06,-6.6544e-07,2.4016,12.2
5.8831e-06,-6.6994e-07,2.4055,12.3
5.8823e-06,-6.7445e-07,2.4094,12.4
5.8814e-06,-6.7895e-07,2.4133,12.5
5.8806e-06,-6.8346e-07,2.4172,12.6
5.8797e-06,-6.8796e-07,2.4211,12.7
5.8788e-06,-6.9246e-07,2.425,12.8
5.878e-06,-6.9697e-07,2.4289,12.9
5.8771e-06,-7.0147e-07,2.4327,13.0
5.8763e-06,-7.0598e-07,2.4366,13.1
5.8754e-06,-7.1048e-07,2.4405,13.2
5.8746e-06,-7.1499e-07,2.4444,13.3
5.8737e-06,-7.1949e-07,2.4483,13.4
5.8729e-06,-7.24e-07,2.4522,13.5
5.872e-06,-7.285e-07,2.4561,13.6
5.8711e-06,-7.3301e-07,2.46,13.7
