"T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","nut","nutMean","p","p_rgh","p_rghMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
300,300,0,0,0,0,0,0,0,0,0,0,0,0,0.0019145,0.11782,0.14278,0.030893,0.031265,1e+05,1e+05,1e+05,-7.9951e-08,-2.9272e-09,-0.041788,2532,1,0,125,0,200
300,300,2.365e-07,3.7952e-09,0.14525,5.4138e-07,-2.2026e-09,0.14658,3.5326e-11,6.5672e-15,0.00017618,-3.6974e-13,4.5722e-10,-3.7731e-08,0.011956,0.10779,0.14474,0.031455,0.031883,99999,1e+05,1e+05,-5.8167e-08,-2.1296e-09,-0.030402,1842.1,1,0.1,125,0.1,200
300,300,4.7299e-07,7.5904e-09,0.2905,1.0828e-06,-4.4052e-09,0.29317,7.0652e-11,1.3134e-14,0.00035237,-7.3947e-13,9.1444e-10,-7.5462e-08,0.021998,0.097757,0.14671,0.032016,0.032502,99998,1e+05,1e+05,-3.6383e-08,-1.3321e-09,-0.019017,1152.2,1,0.2,125,0.2,200
300,300,7.0949e-07,1.1386e-08,0.43574,1.6241e-06,-6.6078e-09,0.43975,1.0598e-10,1.9702e-14,0.00052855,-1.1092e-12,1.3717e-09,-1.1319e-07,0.03204,0.087725,0.14867,0.032578,0.03312,99997,1e+05,1e+05,-1.46e-08,-5.3454e-10,-0.0076309,462.36,1,0.3,125,0.3,200
300,300,9.1923e-07,1.406e-08,0.56442,2.0879e-06,-9.5029e-09,0.56955,1.3883e-10,3.4136e-14,0.00071893,-1.6109e-12,2.1082e-09,-1.5436e-07,0.041875,0.077665,0.15021,0.035593,0.03625,99996,1e+05,1e+05,0,0,0,0,1,0.4,125,0.4,200
300,300,1.0746e-06,1.4456e-08,0.65941,2.3938e-06,-1.3806e-08,0.66522,1.6667e-10,6.4558e-14,0.00093817,-2.3808e-12,3.4125e-09,-2.025e-07,0.051287,0.067547,0.15088,0.043594,0.044484,99995,1e+05,1e+05,0,0,0,0,1,0.5,125,0.5,200
300,300,1.2299e-06,1.4853e-08,0.75439,2.6998e-06,-1.8108e-08,0.76089,1.9451e-10,9.4981e-14,0.0011574,-3.1506e-12,4.7168e-09,-2.5064e-07,0.060699,0.057429,0.15155,0.051594,0.052718,99994,1e+05,1e+05,0,0,0,0,1,0.6,125,0.6,200
300,300,1.3853e-06,1.5249e-08,0.84938,3.0058e-06,-2.2411e-08,0.85656,2.2235e-10,1.254e-13,0.0013766,-3.9205e-12,6.0211e-09,-2.9879e-07,0.070111,0.047312,0.15223,0.059594,0.060953,99993,1e+05,1e+05,0,0,0,0,1,0.7,125,0.7,200
300,300,1.5406e-06,1.5646e-08,0.94437,3.3117e-06,-2.6713e-08,0.95223,2.5018e-10,1.5583e-13,0.0015959,-4.6904e-12,7.3254e-09,-3.4693e-07,0.079523,0.037194,0.1529,0.067595,0.069187,99992,1e+05,1e+05,0,0,0,0,1,0.8,125,0.8,200
300,300,1.6667e-06,1.4915e-08,1.0114,3.5169e-06,-3.162e-08,1.0196,2.6937e-10,2.1586e-13,0.0017718,-5.6099e-12,9.1859e-09,-3.8466e-07,0.088844,0.031535,0.15259,0.075518,0.077383,99991,1e+05,1e+05,0,0,0,0,1,0.9,125,0.9,200
300,300,1.7725e-06,1.3399e-08,1.0589,3.6518e-06,-3.6948e-08,1.0674,2.8253e-10,2.9651e-13,0.0019176,-6.6335e-12,1.1434e-08,-4.1513e-07,0.098103,0.02898,0.15159,0.083387,0.085554,99990,1e+05,1e+05,0,0,0,0,1,1,125,1,200
300,300,1.8782e-06,1.1884e-08,1.1064,3.7868e-06,-4.2276e-08,1.1151,2.9569e-10,3.7716e-13,0.0020634,-7.6571e-12,1.3681e-08,-4.456e-07,0.10736,0.026425,0.15059,0.091257,0.093724,99989,1e+05,1e+05,0,0,0,0,1,1.1,125,1.1,200
300,300,1.984e-06,1.0368e-08,1.1539,3.9217e-06,-4.7604e-08,1.1629,3.0884e-10,4.5782e-13,0.0022092,-8.6807e-12,1.5929e-08,-4.7607e-07,0.11662,0.023869,0.14959,0.099127,0.10189,99988,1e+05,1e+05,0,0,0,0,1,1.2,125,1.2,200
300,300,2.0897e-06,8.8526e-09,1.2015,4.0567e-06,-5.2931e-08,1.2106,3.22e-10,5.3847e-13,0.002355,-9.7044e-12,1.8177e-08,-5.0654e-07,0.12588,0.021314,0.1486,0.107,0.11006,99987,1e+05,1e+05,0,0,0,0,1,1.3,125,1.3,200
300,300,2.1954e-06,7.337e-09,1.249,4.1916e-06,-5.8259e-08,1.2584,3.3516e-10,6.1912e-13,0.0025008,-1.0728e-11,2.0424e-08,-5.3701e-07,0.13514,0.018759,0.1476,0.11487,0.11824,99986,1e+05,1e+05,0,0,0,0,1,1.4,125,1.4,200
300,300,2.2833e-06,5.469e-09,1.2879,4.2978e-06,-6.3864e-08,1.2975,3.4523e-10,7.3822e-13,0.0026149,-1.1818e-11,2.3005e-08,-5.6043e-07,0.14448,0.016997,0.14686,0.12281,0.1265,99985,1e+05,1e+05,0,0,0,0,1,1.5,125,1.5,200
300,300,2.3508e-06,3.1989e-09,1.3171,4.3711e-06,-6.9784e-08,1.3267,3.5177e-10,9.0118e-13,0.0026929,-1.2983e-11,2.5966e-08,-5.7581e-07,0.15391,0.016139,0.14641,0.13083,0.13488,99984,1e+05,1e+05,0,0,0,0,1,1.6,125,1.6,200
300,300,2.4182e-06,9.2882e-10,1.3462,4.4444e-06,-7.5704e-08,1.3559,3.5832e-10,1.0641e-12,0.0027708,-1.4148e-11,2.8927e-08,-5.9119e-07,0.16335,0.01528,0.14596,0.13885,0.14325,99983,1e+05,1e+05,0,0,0,0,1,1.7,125,1.7,200
300,300,2.4857e-06,-1.3413e-09,1.3754,4.5177e-06,-8.1624e-08,1.3851,3.6486e-10,1.2271e-12,0.0028488,-1.5313e-11,3.1888e-08,-6.0657e-07,0.17278,0.014422,0.14552,0.14687,0.15163,99982,1e+05,1e+05,0,0,0,0,1,1.8,125,1.8,200
300,300,2.5532e-06,-3.6113e-09,1.4045,4.591e-06,-8.7544e-08,1.4144,3.7141e-10,1.39e-12,0.0029267,-1.6478e-11,3.4849e-08,-6.2194e-07,0.18222,0.013563,0.14507,0.15489,0.16,99981,1e+05,1e+05,0,0,0,0,1,1.9,125,1.9,200
300,300,2.6206e-06,-5.8814e-09,1.4336,4.6643e-06,-9.3464e-08,1.4436,3.7795e-10,1.553e-12,0.0030047,-1.7643e-11,3.781e-08,-6.3732e-07,0.19166,0.012705,0.14462,0.16291,0.16838,99980,1e+05,1e+05,0,0,0,0,1,2,125,2,200
