# Region type :     patch water_to_solid
# Faces             : 70
# Area              : 1.023529411764e-04
# Scale factor      : 1.000000000000e+00
# Time              	areaAverage(reactingEulerHtcModel(T.liquid))
0.1                 	-2.304943194059e+02
0.2                 	-1.900140686880e+02
0.3                 	-2.032922521816e+02
0.4                 	-1.797551051233e+02
0.5                 	-1.767136611008e+02
0.6                 	-1.814821107349e+02
0.7                 	-1.813099661326e+02
0.8                 	-1.762670033878e+02
0.9                 	-1.840248814659e+02
1                   	-1.822823127826e+02
1.1                 	-1.849621343171e+02
1.2                 	-1.869563230692e+02
1.3                 	-1.922930660246e+02
1.4                 	-1.856492679143e+02
1.5                 	-1.864422277905e+02
1.6                 	-1.808302387404e+02
1.7                 	-1.864981696388e+02
1.8                 	-1.809296563410e+02
1.9                 	-1.780146829904e+02
2                   	-1.859080771266e+02
2.1                 	-1.780820828826e+02
2.2                 	-1.867209956427e+02
2.3                 	-1.798971526243e+02
2.4                 	-1.828573211084e+02
2.5                 	-1.826345403182e+02
2.6                 	-1.801092413428e+02
2.7                 	-1.853401688680e+02
2.8                 	-1.803259741123e+02
2.9                 	-1.871932821969e+02
3                   	-1.787217368518e+02
3.1                 	-1.863195887528e+02
3.2                 	-1.789178134485e+02
3.3                 	-1.854424602127e+02
3.4                 	-1.790390098545e+02
3.5                 	-1.834370652228e+02
3.6                 	-1.792775595362e+02
3.7                 	-1.822964123917e+02
3.8                 	-1.797402008867e+02
3.9                 	-1.805471649459e+02
4                   	-1.820941487079e+02
4.1                 	-1.798390305995e+02
4.2                 	-1.826670607085e+02
4.3                 	-1.798457306513e+02
4.4                 	-1.855617308287e+02
4.5                 	-1.791578988717e+02
4.6                 	-1.833129718417e+02
4.7                 	-1.793412411719e+02
4.8                 	-1.818890750858e+02
4.9                 	-1.804231479921e+02
5                   	-1.808024107350e+02
