# Setup from log.interADMFoam
# Benchmark: false
# Qin_: 0
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 3.33333e-23
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147774
0.067793,1.29468e-07,0.0519329,9.01119,1.10319e-05,-1.83469e-10,1.6535,6.27156e-06,13.4993,-0.000874988
0.167797,1.29486e-07,0.0519332,9.01129,1.10317e-05,-1.83417e-10,1.65351,6.27162e-06,13.4983,-0.000873146
0.267801,1.29501e-07,0.0519338,9.01136,1.10314e-05,-1.83374e-10,1.65352,6.27261e-06,13.4974,-0.000871397
0.367806,1.29512e-07,0.0519344,9.01142,1.10312e-05,-1.83338e-10,1.65353,6.27352e-06,13.4964,-0.000869661
0.46781,1.29522e-07,0.051935,9.01148,1.1031e-05,-1.83306e-10,1.65353,6.27433e-06,13.4954,-0.000867951
0.567814,1.29533e-07,0.0519353,9.01157,1.10308e-05,-1.83271e-10,1.65354,6.2747e-06,13.4944,-0.00086615
0.667818,1.29551e-07,0.0519358,9.01165,1.10306e-05,-1.83222e-10,1.65355,6.27515e-06,13.4934,-0.000864386
0.767822,1.29566e-07,0.0519362,9.01171,1.10304e-05,-1.83179e-10,1.65355,6.27569e-06,13.4924,-0.000862681
0.867827,1.29578e-07,0.0519366,9.01179,1.10302e-05,-1.8314e-10,1.65356,6.27622e-06,13.4915,-0.000860928
0.967831,1.2959e-07,0.051937,9.0119,1.103e-05,-1.83105e-10,1.65357,6.27659e-06,13.4905,-0.000859092
1.06783,1.296e-07,0.0519373,9.01201,1.10298e-05,-1.83072e-10,1.65358,6.27684e-06,13.4895,-0.000857279
1.16784,1.29609e-07,0.0519376,9.01211,1.10296e-05,-1.83042e-10,1.65358,6.27704e-06,13.4885,-0.000855483
1.26784,1.29617e-07,0.051938,9.01219,1.10294e-05,-1.83013e-10,1.65359,6.2773e-06,13.4876,-0.000853733
1.36785,1.29625e-07,0.0519382,9.01228,1.10292e-05,-1.82986e-10,1.6536,6.27749e-06,13.4866,-0.000851963
1.46785,1.29633e-07,0.0519385,9.01239,1.1029e-05,-1.8296e-10,1.6536,6.27769e-06,13.4856,-0.000850151
1.56786,1.2964e-07,0.0519389,9.0125,1.10287e-05,-1.82935e-10,1.65361,6.27797e-06,13.4847,-0.000848365
1.66786,1.29646e-07,0.0519392,9.01256,1.10285e-05,-1.8291e-10,1.65362,6.27826e-06,13.4837,-0.000846665
1.76786,1.29653e-07,0.0519395,9.01263,1.10283e-05,-1.82886e-10,1.65363,6.27854e-06,13.4828,-0.000844957
1.86787,1.29659e-07,0.0519399,9.01272,1.10281e-05,-1.82862e-10,1.65363,6.2789e-06,13.4818,-0.000843225
1.96787,1.29665e-07,0.0519402,9.01279,1.10279e-05,-1.82839e-10,1.65364,6.27912e-06,13.4809,-0.000841519
2.06788,1.29671e-07,0.0519405,9.01286,1.10277e-05,-1.82817e-10,1.65365,6.27938e-06,13.4799,-0.000839815
2.16788,1.29677e-07,0.0519409,9.01293,1.10275e-05,-1.82794e-10,1.65365,6.27972e-06,13.479,-0.000838133
2.26789,1.29683e-07,0.0519414,9.013,1.10273e-05,-1.82771e-10,1.65366,6.28026e-06,13.478,-0.000836433
2.36789,1.29688e-07,0.0519417,9.01309,1.10271e-05,-1.82749e-10,1.65367,6.28052e-06,13.4771,-0.000834715
2.46789,1.29694e-07,0.051942,9.01318,1.10269e-05,-1.82728e-10,1.65368,6.2807e-06,13.4761,-0.000832976
2.5679,1.29699e-07,0.0519423,9.01326,1.10267e-05,-1.82706e-10,1.65368,6.28092e-06,13.4752,-0.000831276
2.6679,1.29704e-07,0.0519425,9.01335,1.10265e-05,-1.82685e-10,1.65369,6.28106e-06,13.4742,-0.000829539
2.76791,1.29709e-07,0.0519428,9.01343,1.10263e-05,-1.82665e-10,1.6537,6.28123e-06,13.4733,-0.000827864
2.86791,1.29714e-07,0.0519432,9.01349,1.10261e-05,-1.82643e-10,1.6537,6.28159e-06,13.4724,-0.000826212
2.96791,1.2972e-07,0.0519435,9.01356,1.10258e-05,-1.82622e-10,1.65371,6.28188e-06,13.4714,-0.000824535
3.06792,1.29725e-07,0.0519439,9.01364,1.10256e-05,-1.82601e-10,1.65372,6.28214e-06,13.4705,-0.000822855
3.16792,1.2973e-07,0.051944,9.01371,1.10254e-05,-1.82581e-10,1.65373,6.28209e-06,13.4696,-0.000821186
3.26793,1.29735e-07,0.0519443,9.01379,1.10252e-05,-1.8256e-10,1.65373,6.2823e-06,13.4686,-0.00081951
3.36793,1.2974e-07,0.0519447,9.01387,1.1025e-05,-1.82539e-10,1.65374,6.28257e-06,13.4677,-0.00081782
3.46794,1.29744e-07,0.0519448,9.01394,1.10248e-05,-1.8252e-10,1.65375,6.28234e-06,13.4668,-0.000816179
3.56794,1.2975e-07,0.0519451,9.01402,1.10246e-05,-1.82498e-10,1.65375,6.28264e-06,13.4658,-0.000814493
3.66794,1.29755e-07,0.0519455,9.01411,1.10244e-05,-1.82476e-10,1.65376,6.28298e-06,13.4649,-0.000812805
3.76795,1.29761e-07,0.0519458,9.01419,1.10242e-05,-1.82455e-10,1.65377,6.28317e-06,13.464,-0.000811135
