# Setup from log.interADMFoam
# Benchmark: false
# Qin_: 0
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 3.33333e-23
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147774
0.0682464,1.29468e-07,0.051933,9.01119,1.10319e-05,-1.83468e-10,1.6535,6.27179e-06,13.4993,-0.000874968
0.168241,1.29486e-07,0.0519331,9.01128,1.10317e-05,-1.83417e-10,1.65351,6.2714e-06,13.4983,-0.000873165
0.268236,1.295e-07,0.0519335,9.01133,1.10314e-05,-1.83377e-10,1.65352,6.27187e-06,13.4974,-0.000871455
0.368231,1.2951e-07,0.0519339,9.01138,1.10312e-05,-1.83343e-10,1.65353,6.27239e-06,13.4964,-0.000869765
0.468226,1.2952e-07,0.0519343,9.01141,1.1031e-05,-1.83312e-10,1.65353,6.27286e-06,13.4954,-0.000868105
0.568221,1.2953e-07,0.0519347,9.01145,1.10308e-05,-1.83278e-10,1.65354,6.27318e-06,13.4944,-0.000866419
0.668216,1.29548e-07,0.0519351,9.01151,1.10306e-05,-1.83229e-10,1.65355,6.27356e-06,13.4934,-0.000864712
0.768211,1.29562e-07,0.0519354,9.01157,1.10304e-05,-1.83187e-10,1.65355,6.27381e-06,13.4924,-0.000862995
0.868206,1.29574e-07,0.0519356,9.01165,1.10302e-05,-1.8315e-10,1.65356,6.27388e-06,13.4915,-0.00086123
0.968201,1.29585e-07,0.0519358,9.01175,1.103e-05,-1.83117e-10,1.65357,6.27386e-06,13.4905,-0.000859438
1.0682,1.29594e-07,0.051936,9.01184,1.10298e-05,-1.83086e-10,1.65358,6.27372e-06,13.4895,-0.000857652
1.16819,1.29603e-07,0.0519362,9.01195,1.10296e-05,-1.83057e-10,1.65358,6.27368e-06,13.4885,-0.000855838
1.26819,1.2961e-07,0.0519363,9.01203,1.10294e-05,-1.8303e-10,1.65359,6.27344e-06,13.4876,-0.000854102
1.36818,1.29618e-07,0.0519364,9.0121,1.10292e-05,-1.83004e-10,1.6536,6.27324e-06,13.4866,-0.000852369
1.46818,1.29625e-07,0.0519366,9.01221,1.1029e-05,-1.82979e-10,1.6536,6.27323e-06,13.4856,-0.000850577
1.56817,1.29631e-07,0.0519368,9.01227,1.10287e-05,-1.82955e-10,1.65361,6.27305e-06,13.4847,-0.000848884
1.66817,1.29637e-07,0.051937,9.01232,1.10285e-05,-1.82931e-10,1.65362,6.27306e-06,13.4837,-0.000847214
1.76816,1.29644e-07,0.0519373,9.01238,1.10283e-05,-1.82907e-10,1.65363,6.27328e-06,13.4828,-0.000845534
1.86816,1.29649e-07,0.0519375,9.01245,1.10281e-05,-1.82885e-10,1.65363,6.27331e-06,13.4818,-0.000843838
1.96815,1.29655e-07,0.0519377,9.01253,1.10279e-05,-1.82863e-10,1.65364,6.27332e-06,13.4808,-0.000842097
2.06815,1.2966e-07,0.0519379,9.01261,1.10277e-05,-1.82842e-10,1.65365,6.27334e-06,13.4799,-0.000840388
2.16814,1.29665e-07,0.0519381,9.01268,1.10275e-05,-1.82821e-10,1.65365,6.27321e-06,13.4789,-0.000838686
2.26814,1.2967e-07,0.0519382,9.01274,1.10273e-05,-1.82801e-10,1.65366,6.27307e-06,13.478,-0.000837029
2.36813,1.29674e-07,0.0519385,9.0128,1.10271e-05,-1.82781e-10,1.65367,6.27308e-06,13.477,-0.000835355
2.46813,1.29679e-07,0.0519386,9.01287,1.10269e-05,-1.82762e-10,1.65368,6.27303e-06,13.4761,-0.000833684
2.56812,1.29683e-07,0.0519388,9.01291,1.10267e-05,-1.82743e-10,1.65368,6.273e-06,13.4752,-0.000832053
2.66812,1.29688e-07,0.0519391,9.01298,1.10265e-05,-1.82723e-10,1.65369,6.27304e-06,13.4742,-0.000830374
2.76811,1.29692e-07,0.0519393,9.01307,1.10263e-05,-1.82705e-10,1.6537,6.27299e-06,13.4733,-0.000828665
2.86811,1.29696e-07,0.0519395,9.01312,1.10261e-05,-1.82686e-10,1.6537,6.27296e-06,13.4723,-0.000827026
