# Setup from log.interADMFoam
# Benchmark: false
# Qin_: 0
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 3.33333e-23
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147774
0.0669821,1.29467e-07,0.0519328,9.01117,1.10319e-05,-1.83471e-10,1.6535,6.27136e-06,13.4993,-0.000875048
0.166982,1.29485e-07,0.0519329,9.01126,1.10317e-05,-1.83419e-10,1.65351,6.27111e-06,13.4984,-0.000873232
0.266983,1.29499e-07,0.0519335,9.01128,1.10314e-05,-1.83378e-10,1.65352,6.27187e-06,13.4974,-0.000871584
0.366983,1.2951e-07,0.051934,9.01129,1.10312e-05,-1.83343e-10,1.65353,6.27268e-06,13.4964,-0.000869993
0.466984,1.2952e-07,0.0519345,9.01131,1.1031e-05,-1.83311e-10,1.65353,6.27334e-06,13.4954,-0.000868343
0.566984,1.29531e-07,0.0519349,9.01137,1.10308e-05,-1.83278e-10,1.65354,6.27361e-06,13.4944,-0.000866624
0.666984,1.29548e-07,0.0519352,9.01143,1.10306e-05,-1.83229e-10,1.65355,6.27391e-06,13.4934,-0.000864902
0.766985,1.29562e-07,0.0519355,9.01151,1.10304e-05,-1.83188e-10,1.65355,6.274e-06,13.4924,-0.000863157
0.866985,1.29574e-07,0.0519357,9.01161,1.10302e-05,-1.83151e-10,1.65356,6.27405e-06,13.4915,-0.000861341
0.966985,1.29584e-07,0.0519359,9.01169,1.103e-05,-1.83117e-10,1.65357,6.27399e-06,13.4905,-0.000859594
1.06699,1.29594e-07,0.051936,9.01176,1.10298e-05,-1.83086e-10,1.65358,6.27387e-06,13.4895,-0.000857857
1.16699,1.29602e-07,0.0519362,9.01187,1.10296e-05,-1.83058e-10,1.65358,6.2737e-06,13.4886,-0.000856034
1.26699,1.2961e-07,0.0519364,9.01195,1.10294e-05,-1.8303e-10,1.65359,6.27363e-06,13.4876,-0.000854296
1.36699,1.29618e-07,0.0519366,9.01202,1.10292e-05,-1.83003e-10,1.6536,6.27369e-06,13.4866,-0.000852577
1.46699,1.29625e-07,0.0519369,9.0121,1.1029e-05,-1.82978e-10,1.6536,6.27378e-06,13.4857,-0.000850834
1.56699,1.29631e-07,0.0519369,9.01216,1.10287e-05,-1.82954e-10,1.65361,6.27346e-06,13.4847,-0.000849139
1.66699,1.29637e-07,0.0519371,9.01225,1.10285e-05,-1.82931e-10,1.65362,6.27343e-06,13.4837,-0.000847382
1.76699,1.29643e-07,0.0519373,9.01229,1.10283e-05,-1.82908e-10,1.65363,6.27338e-06,13.4828,-0.000845752
1.86699,1.29649e-07,0.0519375,9.01239,1.10281e-05,-1.82886e-10,1.65363,6.27327e-06,13.4818,-0.000843986
1.96699,1.29654e-07,0.0519376,9.01248,1.10279e-05,-1.82865e-10,1.65364,6.27305e-06,13.4809,-0.000842236
2.06699,1.29659e-07,0.0519378,9.01257,1.10277e-05,-1.82844e-10,1.65365,6.27305e-06,13.4799,-0.000840494
2.16699,1.29664e-07,0.0519379,9.01264,1.10275e-05,-1.82824e-10,1.65365,6.27275e-06,13.4789,-0.000838788
2.26699,1.29668e-07,0.051938,9.01271,1.10273e-05,-1.82804e-10,1.65366,6.27258e-06,13.478,-0.000837101
2.36699,1.29673e-07,0.0519383,9.01276,1.10271e-05,-1.82784e-10,1.65367,6.2726e-06,13.4771,-0.000835458
2.46699,1.29678e-07,0.0519384,9.01281,1.10269e-05,-1.82765e-10,1.65368,6.27251e-06,13.4761,-0.000833828
2.56699,1.29682e-07,0.0519386,9.01288,1.10267e-05,-1.82746e-10,1.65368,6.27245e-06,13.4752,-0.000832134
2.66699,1.29686e-07,0.0519388,9.01298,1.10265e-05,-1.82727e-10,1.65369,6.27236e-06,13.4742,-0.000830391
2.76699,1.2969e-07,0.0519389,9.01308,1.10263e-05,-1.82708e-10,1.6537,6.27225e-06,13.4733,-0.000828641
2.86699,1.29694e-07,0.051939,9.01314,1.10261e-05,-1.82691e-10,1.6537,6.27194e-06,13.4723,-0.00082699
2.96699,1.29698e-07,0.0519391,9.01323,1.10258e-05,-1.82673e-10,1.65371,6.27168e-06,13.4714,-0.000825278
3.06699,1.29702e-07,0.0519394,9.01331,1.10256e-05,-1.82655e-10,1.65372,6.27179e-06,13.4705,-0.000823599
3.16699,1.29706e-07,0.0519396,9.01335,1.10254e-05,-1.82637e-10,1.65373,6.27171e-06,13.4695,-0.000821989
3.26699,1.2971e-07,0.0519398,9.01341,1.10252e-05,-1.82619e-10,1.65373,6.27185e-06,13.4686,-0.000820364
3.36699,1.29713e-07,0.05194,9.01348,1.1025e-05,-1.82602e-10,1.65374,6.27167e-06,13.4677,-0.000818706
3.46699,1.29717e-07,0.0519402,9.01356,1.10248e-05,-1.82584e-10,1.65375,6.27173e-06,13.4668,-0.00081703
3.56699,1.2972e-07,0.0519404,9.01362,1.10246e-05,-1.82567e-10,1.65375,6.27162e-06,13.4658,-0.000815401
3.667,1.29724e-07,0.0519406,9.01369,1.10244e-05,-1.8255e-10,1.65376,6.27166e-06,13.4649,-0.000813756
3.767,1.29727e-07,0.0519407,9.01374,1.10242e-05,-1.82534e-10,1.65377,6.27145e-06,13.464,-0.00081214
3.867,1.2973e-07,0.0519409,9.01383,1.1024e-05,-1.82517e-10,1.65377,6.27139e-06,13.4631,-0.00081047
3.967,1.29733e-07,0.0519411,9.01389,1.10238e-05,-1.825e-10,1.65378,6.27132e-06,13.4621,-0.000808851
4.067,1.29736e-07,0.0519413,9.01395,1.10236e-05,-1.82484e-10,1.65379,6.27125e-06,13.4612,-0.000807225
4.167,1.29739e-07,0.0519415,9.01402,1.10234e-05,-1.82468e-10,1.6538,6.2712e-06,13.4603,-0.000805588
4.267,1.29742e-07,0.0519416,9.01409,1.10232e-05,-1.82452e-10,1.6538,6.27108e-06,13.4594,-0.00080396
4.367,1.29746e-07,0.0519418,9.01416,1.1023e-05,-1.82434e-10,1.65381,6.27097e-06,13.4585,-0.000802337
4.467,1.2975e-07,0.0519419,9.01423,1.10227e-05,-1.82416e-10,1.65382,6.27076e-06,13.4576,-0.000800722
4.567,1.29754e-07,0.0519421,9.01433,1.10225e-05,-1.82398e-10,1.65382,6.27066e-06,13.4567,-0.000799035
4.667,1.29758e-07,0.0519422,9.01439,1.10223e-05,-1.8238e-10,1.65383,6.27056e-06,13.4558,-0.000797425
4.767,1.29762e-07,0.0519423,9.01444,1.10221e-05,-1.82362e-10,1.65384,6.2702e-06,13.4549,-0.000795867
4.867,1.29765e-07,0.0519424,9.0145,1.10219e-05,-1.82345e-10,1.65385,6.27003e-06,13.454,-0.000794274
4.967,1.29769e-07,0.0519427,9.01457,1.10217e-05,-1.82327e-10,1.65385,6.2701e-06,13.4531,-0.000792657
5.067,1.29773e-07,0.0519429,9.01464,1.10215e-05,-1.82309e-10,1.65386,6.27005e-06,13.4522,-0.000791046
5.167,1.29777e-07,0.051943,9.01472,1.10213e-05,-1.82291e-10,1.65387,6.26997e-06,13.4513,-0.000789438
5.267,1.29781e-07,0.0519433,9.01479,1.10211e-05,-1.82273e-10,1.65387,6.27012e-06,13.4504,-0.00078782
5.367,1.29784e-07,0.0519435,9.01486,1.10209e-05,-1.82256e-10,1.65388,6.27e-06,13.4495,-0.000786227
5.467,1.29787e-07,0.0519436,9.01493,1.10207e-05,-1.82239e-10,1.65389,6.26986e-06,13.4486,-0.000784633
5.567,1.29791e-07,0.0519438,9.015,1.10205e-05,-1.82222e-10,1.6539,6.26983e-06,13.4477,-0.000783035
5.667,1.29794e-07,0.051944,9.01507,1.10203e-05,-1.82205e-10,1.6539,6.26973e-06,13.4468,-0.00078145
5.767,1.29798e-07,0.0519442,9.01514,1.10201e-05,-1.82188e-10,1.65391,6.26972e-06,13.4459,-0.000779856
5.867,1.29801e-07,0.0519444,9.01521,1.10199e-05,-1.82172e-10,1.65392,6.26961e-06,13.4451,-0.000778276
5.967,1.29804e-07,0.0519445,9.01528,1.10196e-05,-1.82156e-10,1.65392,6.26946e-06,13.4442,-0.000776703
6.067,1.29807e-07,0.0519446,9.01534,1.10194e-05,-1.8214e-10,1.65393,6.26928e-06,13.4433,-0.000775136
6.167,1.2981e-07,0.0519448,9.01541,1.10192e-05,-1.82124e-10,1.65394,6.2691e-06,13.4424,-0.000773572
6.267,1.29813e-07,0.0519449,9.01548,1.1019e-05,-1.82108e-10,1.65395,6.26892e-06,13.4415,-0.000772009
6.367,1.29816e-07,0.0519451,9.01554,1.10188e-05,-1.82092e-10,1.65395,6.2688e-06,13.4407,-0.000770445
6.467,1.29819e-07,0.0519453,9.01562,1.10186e-05,-1.82075e-10,1.65396,6.26882e-06,13.4398,-0.000768873
6.567,1.29822e-07,0.0519454,9.01568,1.10184e-05,-1.8206e-10,1.65397,6.26859e-06,13.4389,-0.000767327
6.667,1.29824e-07,0.0519455,9.01574,1.10182e-05,-1.82045e-10,1.65397,6.26828e-06,13.4381,-0.000765789
6.767,1.29827e-07,0.0519457,9.01581,1.1018e-05,-1.82029e-10,1.65398,6.26819e-06,13.4372,-0.000764234
6.867,1.2983e-07,0.0519458,9.01588,1.10178e-05,-1.82013e-10,1.65399,6.2681e-06,13.4363,-0.000762681
6.967,1.29833e-07,0.051946,9.01594,1.10176e-05,-1.81998e-10,1.654,6.26796e-06,13.4355,-0.000761141
7.067,1.29836e-07,0.0519461,9.016,1.10174e-05,-1.81983e-10,1.654,6.26773e-06,13.4346,-0.000759607
7.167,1.29838e-07,0.0519463,9.01607,1.10172e-05,-1.81968e-10,1.65401,6.26764e-06,13.4337,-0.000758065
7.267,1.29841e-07,0.0519464,9.01614,1.1017e-05,-1.81953e-10,1.65402,6.26746e-06,13.4329,-0.000756536
7.367,1.29844e-07,0.0519466,9.0162,1.10168e-05,-1.81937e-10,1.65402,6.26738e-06,13.432,-0.000754999
7.467,1.29846e-07,0.0519468,9.01627,1.10166e-05,-1.81922e-10,1.65403,6.26731e-06,13.4312,-0.000753464
7.567,1.29849e-07,0.0519469,9.01634,1.10163e-05,-1.81907e-10,1.65404,6.26712e-06,13.4303,-0.000751944
7.667,1.29851e-07,0.051947,9.0164,1.10161e-05,-1.81893e-10,1.65404,6.26684e-06,13.4295,-0.000750435
7.767,1.29854e-07,0.0519472,9.01646,1.10159e-05,-1.81877e-10,1.65405,6.26677e-06,13.4286,-0.000748908
7.867,1.29856e-07,0.0519473,9.01653,1.10157e-05,-1.81863e-10,1.65406,6.26658e-06,13.4278,-0.000747398
7.967,1.29859e-07,0.0519474,9.01659,1.10155e-05,-1.81848e-10,1.65407,6.26643e-06,13.4269,-0.000745884
8.067,1.29861e-07,0.0519476,9.01666,1.10153e-05,-1.81833e-10,1.65407,6.26641e-06,13.4261,-0.000744361
8.167,1.29864e-07,0.0519478,9.01673,1.10151e-05,-1.81818e-10,1.65408,6.26629e-06,13.4252,-0.000742857
