# Setup from log.interADMFoam
# Benchmark: false
# Qin_: 0
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 3.33333e-23
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147768
0.0678165,1.35411e-07,0.0519328,9.00807,1.10319e-05,-1.69711e-10,1.6535,6.27129e-06,13.4993,-0.0008822
0.16782,1.35411e-07,0.0519331,9.00815,1.10317e-05,-1.69703e-10,1.65351,6.27156e-06,13.4983,-0.000880396
0.267824,1.35412e-07,0.0519339,9.00828,1.10315e-05,-1.69692e-10,1.65352,6.27282e-06,13.4973,-0.0008785
0.367828,1.35413e-07,0.0519346,9.0084,1.10313e-05,-1.69681e-10,1.65353,6.27395e-06,13.4963,-0.000876621
0.467831,1.35414e-07,0.0519352,9.00851,1.10311e-05,-1.69671e-10,1.65353,6.27493e-06,13.4953,-0.000874761
0.567835,1.35415e-07,0.0519359,9.00862,1.10309e-05,-1.6966e-10,1.65354,6.27588e-06,13.4944,-0.000872906
0.667839,1.35416e-07,0.0519364,9.00872,1.10307e-05,-1.69651e-10,1.65355,6.27659e-06,13.4934,-0.000871076
0.767843,1.35416e-07,0.0519368,9.00882,1.10305e-05,-1.69641e-10,1.65355,6.27716e-06,13.4924,-0.000869262
0.867846,1.35416e-07,0.0519371,9.00891,1.10303e-05,-1.69633e-10,1.65356,6.27738e-06,13.4914,-0.000867484
0.96785,1.35416e-07,0.0519375,9.009,1.10301e-05,-1.69624e-10,1.65357,6.2778e-06,13.4904,-0.000865693
1.06785,1.35417e-07,0.0519379,9.00909,1.10299e-05,-1.69615e-10,1.65358,6.27827e-06,13.4894,-0.000863901
1.16786,1.35417e-07,0.0519383,9.00918,1.10298e-05,-1.69606e-10,1.65358,6.2787e-06,13.4885,-0.000862116
1.26786,1.35417e-07,0.0519387,9.00927,1.10296e-05,-1.69597e-10,1.65359,6.27914e-06,13.4875,-0.000860331
1.36786,1.35417e-07,0.0519391,9.00936,1.10294e-05,-1.69588e-10,1.6536,6.2795e-06,13.4865,-0.000858559
1.46787,1.35417e-07,0.0519395,9.00945,1.10292e-05,-1.69579e-10,1.6536,6.27981e-06,13.4855,-0.000856797
1.56787,1.35418e-07,0.0519399,9.00954,1.1029e-05,-1.6957e-10,1.65361,6.28026e-06,13.4846,-0.000855023
1.66788,1.35418e-07,0.0519403,9.00963,1.10288e-05,-1.69561e-10,1.65362,6.28072e-06,13.4836,-0.000853253
1.76788,1.35418e-07,0.0519407,9.00972,1.10286e-05,-1.69552e-10,1.65363,6.28125e-06,13.4826,-0.00085148
1.86788,1.35419e-07,0.0519411,9.00981,1.10284e-05,-1.69543e-10,1.65363,6.2817e-06,13.4817,-0.000849718
1.96789,1.35419e-07,0.0519416,9.00991,1.10282e-05,-1.69533e-10,1.65364,6.28222e-06,13.4807,-0.000847951
2.06789,1.35419e-07,0.051942,9.01,1.1028e-05,-1.69524e-10,1.65365,6.28269e-06,13.4797,-0.000846195
2.16789,1.3542e-07,0.0519424,9.01009,1.10278e-05,-1.69515e-10,1.65365,6.28321e-06,13.4788,-0.000844436
2.2679,1.3542e-07,0.0519427,9.01017,1.10276e-05,-1.69506e-10,1.65366,6.28349e-06,13.4778,-0.000842704
2.3679,1.3542e-07,0.051943,9.01025,1.10275e-05,-1.69498e-10,1.65367,6.28361e-06,13.4769,-0.000840989
2.46791,1.3542e-07,0.0519435,9.01035,1.10273e-05,-1.69489e-10,1.65368,6.28418e-06,13.4759,-0.000839239
2.56791,1.3542e-07,0.0519438,9.01043,1.10271e-05,-1.6948e-10,1.65368,6.28454e-06,13.475,-0.000837507
2.66791,1.35421e-07,0.0519443,9.01053,1.10269e-05,-1.69471e-10,1.65369,6.28507e-06,13.474,-0.000835767
2.76792,1.35421e-07,0.0519447,9.01062,1.10267e-05,-1.69462e-10,1.6537,6.28554e-06,13.4731,-0.000834035
2.86792,1.35421e-07,0.0519451,9.01071,1.10265e-05,-1.69452e-10,1.6537,6.28607e-06,13.4721,-0.0008323
2.96792,1.35422e-07,0.0519456,9.0108,1.10263e-05,-1.69443e-10,1.65371,6.2866e-06,13.4712,-0.000830568
3.06793,1.35422e-07,0.051946,9.01089,1.10261e-05,-1.69434e-10,1.65372,6.287e-06,13.4703,-0.000828851
3.16793,1.35422e-07,0.0519463,9.01097,1.10259e-05,-1.69425e-10,1.65373,6.28732e-06,13.4693,-0.000827146
3.26794,1.35422e-07,0.0519466,9.01105,1.10257e-05,-1.69417e-10,1.65373,6.28756e-06,13.4684,-0.000825452
3.36794,1.35423e-07,0.0519469,9.01113,1.10255e-05,-1.69407e-10,1.65374,6.28774e-06,13.4674,-0.000823767
3.46794,1.35423e-07,0.0519472,9.01121,1.10253e-05,-1.69399e-10,1.65375,6.28801e-06,13.4665,-0.000822075
3.56795,1.35423e-07,0.0519476,9.01129,1.10251e-05,-1.6939e-10,1.65375,6.28823e-06,13.4656,-0.000820394
