# Setup from log.interADMFoam
# Benchmark: false
# Qin_: 0
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 3.33333e-23
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147768
0.0669821,1.35411e-07,0.0519327,9.00805,1.10319e-05,-1.69712e-10,1.6535,6.271e-06,13.4993,-0.000882242
0.166982,1.35411e-07,0.0519329,9.00813,1.10317e-05,-1.69704e-10,1.65351,6.27096e-06,13.4983,-0.000880467
0.266983,1.35411e-07,0.0519335,9.00824,1.10315e-05,-1.69694e-10,1.65352,6.27187e-06,13.4973,-0.000878603
0.366983,1.35412e-07,0.0519341,9.00835,1.10313e-05,-1.69684e-10,1.65353,6.27283e-06,13.4963,-0.000876742
0.466984,1.35413e-07,0.0519347,9.00846,1.10311e-05,-1.69674e-10,1.65353,6.27364e-06,13.4954,-0.000874894
0.566984,1.35413e-07,0.0519351,9.00855,1.10309e-05,-1.69665e-10,1.65354,6.27409e-06,13.4944,-0.000873082
0.666984,1.35413e-07,0.0519355,9.00864,1.10307e-05,-1.69656e-10,1.65355,6.27457e-06,13.4934,-0.000871276
0.766985,1.35414e-07,0.0519358,9.00873,1.10305e-05,-1.69647e-10,1.65355,6.27484e-06,13.4924,-0.00086949
0.866985,1.35414e-07,0.0519361,9.00881,1.10303e-05,-1.69638e-10,1.65356,6.27509e-06,13.4914,-0.000867709
0.966985,1.35414e-07,0.0519364,9.00889,1.10301e-05,-1.6963e-10,1.65357,6.27523e-06,13.4904,-0.000865944
1.06699,1.35414e-07,0.0519367,9.00897,1.103e-05,-1.69622e-10,1.65358,6.27531e-06,13.4894,-0.000864187
1.16699,1.35413e-07,0.0519369,9.00905,1.10298e-05,-1.69614e-10,1.65358,6.27535e-06,13.4885,-0.000862437
1.26699,1.35413e-07,0.0519372,9.00912,1.10296e-05,-1.69606e-10,1.65359,6.27548e-06,13.4875,-0.000860684
1.36699,1.35413e-07,0.0519375,9.00921,1.10294e-05,-1.69597e-10,1.6536,6.27573e-06,13.4865,-0.00085892
1.46699,1.35413e-07,0.0519378,9.00929,1.10292e-05,-1.69588e-10,1.6536,6.27601e-06,13.4855,-0.000857158
1.56699,1.35413e-07,0.051938,9.00936,1.1029e-05,-1.69581e-10,1.65361,6.2759e-06,13.4846,-0.000855436
1.66699,1.35413e-07,0.0519383,9.00944,1.10288e-05,-1.69572e-10,1.65362,6.27607e-06,13.4836,-0.000853692
1.76699,1.35413e-07,0.0519385,9.00952,1.10286e-05,-1.69564e-10,1.65363,6.27621e-06,13.4826,-0.000851955
1.86699,1.35413e-07,0.0519388,9.0096,1.10284e-05,-1.69556e-10,1.65363,6.2763e-06,13.4817,-0.000850226
1.96699,1.35414e-07,0.051939,9.00967,1.10282e-05,-1.69544e-10,1.65364,6.27629e-06,13.4807,-0.000848509
2.06699,1.35415e-07,0.0519393,9.00975,1.1028e-05,-1.69535e-10,1.65365,6.27648e-06,13.4797,-0.000846776
2.16699,1.35414e-07,0.0519395,9.00982,1.10278e-05,-1.69528e-10,1.65365,6.2764e-06,13.4788,-0.000845073
2.26699,1.35414e-07,0.0519397,9.00989,1.10276e-05,-1.69521e-10,1.65366,6.27642e-06,13.4778,-0.000843364
2.36699,1.35413e-07,0.05194,9.00997,1.10275e-05,-1.69513e-10,1.65367,6.27664e-06,13.4769,-0.000841639
2.46699,1.35413e-07,0.0519403,9.01005,1.10273e-05,-1.69505e-10,1.65368,6.27674e-06,13.4759,-0.00083993
2.56699,1.35413e-07,0.0519405,9.01012,1.10271e-05,-1.69497e-10,1.65368,6.27688e-06,13.475,-0.000838219
2.66699,1.35413e-07,0.0519408,9.0102,1.10269e-05,-1.69489e-10,1.65369,6.27699e-06,13.474,-0.000836515
2.76699,1.35413e-07,0.051941,9.01028,1.10267e-05,-1.6948e-10,1.6537,6.27708e-06,13.4731,-0.000834816
2.86699,1.35413e-07,0.0519412,9.01034,1.10265e-05,-1.69473e-10,1.6537,6.27697e-06,13.4721,-0.000833139
2.96699,1.35412e-07,0.0519414,9.01041,1.10263e-05,-1.69465e-10,1.65371,6.27692e-06,13.4712,-0.000831459
3.06699,1.35412e-07,0.0519417,9.01049,1.10261e-05,-1.69456e-10,1.65372,6.27721e-06,13.4702,-0.000829753
3.16699,1.35412e-07,0.051942,9.01057,1.10259e-05,-1.69448e-10,1.65373,6.27733e-06,13.4693,-0.000828065
3.26699,1.35412e-07,0.0519423,9.01065,1.10257e-05,-1.69439e-10,1.65373,6.27765e-06,13.4684,-0.000826362
3.36699,1.35412e-07,0.0519426,9.01073,1.10255e-05,-1.69431e-10,1.65374,6.27767e-06,13.4674,-0.00082469
3.46699,1.35412e-07,0.0519429,9.01081,1.10253e-05,-1.69423e-10,1.65375,6.27792e-06,13.4665,-0.000823
3.56699,1.35412e-07,0.0519431,9.01088,1.10251e-05,-1.69414e-10,1.65375,6.27801e-06,13.4656,-0.000821328
