# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147768
0.0678313,1.35411e-07,0.0519327,9.00806,1.10318e-05,-1.69709e-10,1.65349,6.27184e-06,13.4992,-0.000882076
0.167835,1.35411e-07,0.0519331,9.00814,1.10315e-05,-1.69695e-10,1.65348,6.27323e-06,13.4981,-0.000880061
0.267838,1.35412e-07,0.0519338,9.00827,1.10312e-05,-1.6968e-10,1.65348,6.27551e-06,13.497,-0.000877961
0.367842,1.35413e-07,0.0519344,9.00838,1.10309e-05,-1.69665e-10,1.65347,6.27754e-06,13.4959,-0.00087589
0.467845,1.35414e-07,0.051935,9.00849,1.10306e-05,-1.6965e-10,1.65346,6.2796e-06,13.4947,-0.000873822
0.567848,1.35414e-07,0.0519355,9.00859,1.10303e-05,-1.69635e-10,1.65345,6.28142e-06,13.4936,-0.000871778
0.667852,1.35415e-07,0.051936,9.00869,1.103e-05,-1.69621e-10,1.65344,6.28309e-06,13.4925,-0.000869752
0.767855,1.35415e-07,0.0519365,9.00879,1.10297e-05,-1.69607e-10,1.65343,6.28485e-06,13.4914,-0.000867722
0.867859,1.35416e-07,0.0519369,9.00889,1.10294e-05,-1.69593e-10,1.65342,6.28643e-06,13.4903,-0.000865713
0.967862,1.35416e-07,0.0519373,9.00898,1.10291e-05,-1.69579e-10,1.65341,6.28801e-06,13.4892,-0.00086371
1.06787,1.35416e-07,0.0519378,9.00908,1.10288e-05,-1.69565e-10,1.6534,6.28973e-06,13.4881,-0.000861698
1.16787,1.35417e-07,0.0519383,9.00918,1.10285e-05,-1.69551e-10,1.6534,6.29148e-06,13.4869,-0.000859685
1.26787,1.35417e-07,0.0519387,9.00927,1.10282e-05,-1.69537e-10,1.65339,6.29308e-06,13.4858,-0.000857689
1.36788,1.35418e-07,0.0519391,9.00936,1.10279e-05,-1.69523e-10,1.65338,6.29464e-06,13.4847,-0.000855703
1.46788,1.35418e-07,0.0519395,9.00945,1.10276e-05,-1.6951e-10,1.65337,6.2961e-06,13.4836,-0.000853729
1.56788,1.35418e-07,0.0519399,9.00955,1.10273e-05,-1.69496e-10,1.65336,6.29768e-06,13.4825,-0.000851751
1.66789,1.35418e-07,0.0519403,9.00964,1.1027e-05,-1.69482e-10,1.65335,6.29924e-06,13.4815,-0.000849775
1.76789,1.35419e-07,0.0519408,9.00973,1.10267e-05,-1.69468e-10,1.65334,6.30082e-06,13.4804,-0.000847805
1.86789,1.35419e-07,0.0519411,9.00982,1.10264e-05,-1.69454e-10,1.65333,6.30232e-06,13.4793,-0.000845842
1.9679,1.35419e-07,0.0519415,9.00991,1.10261e-05,-1.69441e-10,1.65333,6.30386e-06,13.4782,-0.000843881
2.0679,1.3542e-07,0.051942,9.01,1.10258e-05,-1.69427e-10,1.65332,6.30542e-06,13.4771,-0.000841924
2.1679,1.3542e-07,0.0519423,9.01009,1.10255e-05,-1.69413e-10,1.65331,6.30689e-06,13.476,-0.00083998
2.26791,1.3542e-07,0.0519427,9.01018,1.10252e-05,-1.694e-10,1.6533,6.30845e-06,13.4749,-0.000838028
2.36791,1.3542e-07,0.0519431,9.01026,1.10249e-05,-1.69386e-10,1.65329,6.30981e-06,13.4739,-0.0008361
2.46791,1.35421e-07,0.0519435,9.01035,1.10246e-05,-1.69372e-10,1.65328,6.31138e-06,13.4728,-0.000834155
2.56792,1.35421e-07,0.0519439,9.01044,1.10243e-05,-1.69359e-10,1.65327,6.31283e-06,13.4717,-0.000832228
2.66792,1.35421e-07,0.0519443,9.01053,1.1024e-05,-1.69345e-10,1.65326,6.31437e-06,13.4706,-0.000830295
2.76792,1.35421e-07,0.0519447,9.01062,1.10237e-05,-1.69331e-10,1.65326,6.31589e-06,13.4696,-0.000828367
2.86793,1.35422e-07,0.051945,9.0107,1.10234e-05,-1.69318e-10,1.65325,6.31725e-06,13.4685,-0.000826461
2.96793,1.35422e-07,0.0519453,9.01078,1.10231e-05,-1.69305e-10,1.65324,6.31857e-06,13.4674,-0.00082456
3.06793,1.35422e-07,0.0519456,9.01087,1.10228e-05,-1.69292e-10,1.65323,6.31995e-06,13.4664,-0.000822656
3.16794,1.35422e-07,0.051946,9.01095,1.10225e-05,-1.69278e-10,1.65322,6.32133e-06,13.4653,-0.000820757
3.26794,1.35422e-07,0.0519463,9.01103,1.10223e-05,-1.69265e-10,1.65321,6.32268e-06,13.4643,-0.000818864
3.36794,1.35422e-07,0.0519466,9.01111,1.1022e-05,-1.69252e-10,1.6532,6.32403e-06,13.4632,-0.00081698
3.46795,1.35422e-07,0.051947,9.01119,1.10217e-05,-1.69238e-10,1.6532,6.32543e-06,13.4621,-0.000815092
3.56795,1.35422e-07,0.0519473,9.01128,1.10214e-05,-1.69225e-10,1.65319,6.32681e-06,13.4611,-0.000813209
3.66795,1.35422e-07,0.0519476,9.01136,1.10211e-05,-1.69212e-10,1.65318,6.32809e-06,13.46,-0.000811337
3.76796,1.35423e-07,0.051948,9.01144,1.10208e-05,-1.69199e-10,1.65317,6.32945e-06,13.459,-0.000809464
3.86796,1.35423e-07,0.0519482,9.01151,1.10205e-05,-1.69186e-10,1.65316,6.33069e-06,13.458,-0.000807605
3.96796,1.35423e-07,0.0519486,9.0116,1.10202e-05,-1.69172e-10,1.65315,6.33211e-06,13.4569,-0.000805734
4.06797,1.35423e-07,0.051949,9.01168,1.10199e-05,-1.69159e-10,1.65314,6.33354e-06,13.4559,-0.000803867
4.16797,1.35423e-07,0.0519493,9.01176,1.10196e-05,-1.69145e-10,1.65314,6.33487e-06,13.4548,-0.00080201
4.26797,1.35423e-07,0.0519496,9.01184,1.10193e-05,-1.69132e-10,1.65313,6.33613e-06,13.4538,-0.000800163
4.36798,1.35423e-07,0.05195,9.01192,1.1019e-05,-1.69119e-10,1.65312,6.33765e-06,13.4528,-0.000798298
4.46798,1.35424e-07,0.0519503,9.012,1.10187e-05,-1.69105e-10,1.65311,6.339e-06,13.4517,-0.000796453
4.56799,1.35424e-07,0.0519507,9.01209,1.10184e-05,-1.69092e-10,1.6531,6.34041e-06,13.4507,-0.000794605
4.66799,1.35424e-07,0.051951,9.01217,1.10181e-05,-1.69079e-10,1.65309,6.34181e-06,13.4497,-0.000792762
4.76799,1.35424e-07,0.0519513,9.01225,1.10178e-05,-1.69065e-10,1.65308,6.34311e-06,13.4487,-0.00079093
