# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sac,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0457952,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147774
0.0677884,0.0458007,1.29467e-07,0.0519329,9.01118,1.10318e-05,-1.83466e-10,1.65349,6.2723e-06,13.4992,-0.000874853
0.167793,0.0458009,1.29486e-07,0.0519332,9.01129,1.10315e-05,-1.83409e-10,1.65348,6.2735e-06,13.4981,-0.000872807
0.267797,0.0458018,1.29501e-07,0.0519339,9.01131,1.10312e-05,-1.83361e-10,1.65348,6.27583e-06,13.497,-0.000870944
0.367801,0.0458025,1.29513e-07,0.0519345,9.01133,1.10308e-05,-1.8332e-10,1.65347,6.2779e-06,13.4959,-0.0008691
0.467806,0.0458032,1.29523e-07,0.0519351,9.01142,1.10305e-05,-1.83283e-10,1.65346,6.27978e-06,13.4948,-0.000867099
0.56781,0.0458037,1.29534e-07,0.0519356,9.01149,1.10302e-05,-1.83242e-10,1.65345,6.2816e-06,13.4937,-0.000865145
0.667814,0.0458042,1.29552e-07,0.0519361,9.01153,1.10299e-05,-1.83188e-10,1.65344,6.28323e-06,13.4926,-0.000863261
0.767818,0.0458046,1.29567e-07,0.0519365,9.01162,1.10296e-05,-1.8314e-10,1.65343,6.28493e-06,13.4914,-0.00086128
0.867823,0.045805,1.2958e-07,0.0519369,9.01171,1.10293e-05,-1.83097e-10,1.65342,6.2865e-06,13.4903,-0.000859291
0.967827,0.0458053,1.29591e-07,0.0519373,9.0118,1.1029e-05,-1.83057e-10,1.65341,6.28794e-06,13.4892,-0.00085731
1.06783,0.0458056,1.29601e-07,0.0519376,9.01188,1.10286e-05,-1.8302e-10,1.6534,6.28931e-06,13.4881,-0.000855337
1.16784,0.0458058,1.2961e-07,0.0519379,9.01197,1.10283e-05,-1.82985e-10,1.6534,6.29058e-06,13.487,-0.000853376
1.26784,0.0458061,1.29619e-07,0.0519383,9.01206,1.1028e-05,-1.82951e-10,1.65339,6.29206e-06,13.4859,-0.000851391
1.36784,0.0458063,1.29627e-07,0.0519386,9.01215,1.10277e-05,-1.82919e-10,1.65338,6.29336e-06,13.4848,-0.000849432
