# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147774
0.0682538,1.29468e-07,0.051933,9.01119,1.10318e-05,-1.83466e-10,1.65349,6.27243e-06,13.4992,-0.000874837
0.168249,1.29486e-07,0.051933,9.01127,1.10315e-05,-1.8341e-10,1.65348,6.27318e-06,13.4981,-0.000872827
0.268243,1.295e-07,0.0519335,9.01132,1.10312e-05,-1.83364e-10,1.65348,6.27484e-06,13.497,-0.000870908
0.368238,1.2951e-07,0.0519339,9.01137,1.10308e-05,-1.83325e-10,1.65347,6.27645e-06,13.4959,-0.00086901
0.468233,1.2952e-07,0.0519343,9.01143,1.10305e-05,-1.8329e-10,1.65346,6.27791e-06,13.4948,-0.000867069
0.568228,1.2953e-07,0.0519346,9.01151,1.10302e-05,-1.83252e-10,1.65345,6.27923e-06,13.4937,-0.000865101
0.668223,1.29547e-07,0.0519349,9.01157,1.10299e-05,-1.83199e-10,1.65344,6.28053e-06,13.4925,-0.000863176
0.768218,1.29562e-07,0.0519352,9.01162,1.10296e-05,-1.83152e-10,1.65343,6.28195e-06,13.4914,-0.000861273
0.868213,1.29574e-07,0.0519355,9.01169,1.10293e-05,-1.8311e-10,1.65342,6.28328e-06,13.4903,-0.000859337
0.968207,1.29585e-07,0.0519358,9.01174,1.1029e-05,-1.83071e-10,1.65341,6.28446e-06,13.4892,-0.000857429
1.0682,1.29594e-07,0.051936,9.01181,1.10286e-05,-1.83035e-10,1.6534,6.28554e-06,13.4881,-0.0008555
1.1682,1.29603e-07,0.0519363,9.01189,1.10283e-05,-1.83001e-10,1.6534,6.28681e-06,13.487,-0.000853546
1.26819,1.29611e-07,0.0519365,9.01198,1.1028e-05,-1.82968e-10,1.65339,6.28787e-06,13.4859,-0.000851566
1.36819,1.29619e-07,0.0519366,9.01207,1.10277e-05,-1.82938e-10,1.65338,6.2888e-06,13.4848,-0.000849591
1.46818,1.29625e-07,0.0519368,9.01214,1.10274e-05,-1.82908e-10,1.65337,6.28985e-06,13.4837,-0.000847679
1.56818,1.29632e-07,0.051937,9.01221,1.10271e-05,-1.82878e-10,1.65336,6.29101e-06,13.4827,-0.000845773
1.66817,1.29638e-07,0.0519372,9.01231,1.10268e-05,-1.8285e-10,1.65335,6.29206e-06,13.4816,-0.000843782
1.76817,1.29644e-07,0.0519374,9.01239,1.10264e-05,-1.82823e-10,1.65334,6.29298e-06,13.4805,-0.000841858
1.86816,1.2965e-07,0.0519375,9.01245,1.10261e-05,-1.82797e-10,1.65333,6.29393e-06,13.4794,-0.000839955
1.96816,1.29655e-07,0.0519377,9.0125,1.10258e-05,-1.8277e-10,1.65333,6.29505e-06,13.4783,-0.000838105
2.06815,1.29661e-07,0.051938,9.01255,1.10255e-05,-1.82744e-10,1.65332,6.29621e-06,13.4772,-0.000836268
2.16815,1.29666e-07,0.0519382,9.01262,1.10252e-05,-1.82719e-10,1.65331,6.29724e-06,13.4762,-0.000834372
2.26814,1.29671e-07,0.0519384,9.01271,1.10249e-05,-1.82693e-10,1.6533,6.29831e-06,13.4751,-0.00083243
2.36814,1.29675e-07,0.0519384,9.01279,1.10246e-05,-1.8267e-10,1.65329,6.29907e-06,13.474,-0.000830511
2.46813,1.2968e-07,0.0519386,9.01288,1.10243e-05,-1.82645e-10,1.65328,6.30016e-06,13.473,-0.000828593
2.56813,1.29684e-07,0.0519388,9.01296,1.10239e-05,-1.82621e-10,1.65327,6.30117e-06,13.4719,-0.000826679
2.66812,1.29688e-07,0.051939,9.01302,1.10236e-05,-1.82598e-10,1.65326,6.30223e-06,13.4708,-0.000824829
2.76811,1.29693e-07,0.0519392,9.01309,1.10233e-05,-1.82574e-10,1.65326,6.30336e-06,13.4698,-0.000822957
2.86811,1.29696e-07,0.0519394,9.01317,1.1023e-05,-1.82551e-10,1.65325,6.30425e-06,13.4687,-0.000821061
