# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147774
0.0669821,1.29467e-07,0.0519328,9.01117,1.10318e-05,-1.83468e-10,1.65349,6.27209e-06,13.4993,-0.000874908
0.166982,1.29485e-07,0.0519329,9.01126,1.10315e-05,-1.83411e-10,1.65349,6.27294e-06,13.4981,-0.000872881
0.266983,1.29499e-07,0.0519335,9.01128,1.10312e-05,-1.83365e-10,1.65348,6.2748e-06,13.497,-0.000871023
0.366983,1.29511e-07,0.051934,9.01129,1.10308e-05,-1.83325e-10,1.65347,6.27671e-06,13.4959,-0.000869221
0.466984,1.2952e-07,0.0519345,9.01131,1.10305e-05,-1.83289e-10,1.65346,6.27847e-06,13.4948,-0.000867361
0.566984,1.29531e-07,0.0519349,9.01137,1.10302e-05,-1.83251e-10,1.65345,6.27984e-06,13.4937,-0.000865433
0.666984,1.29548e-07,0.0519352,9.01143,1.10299e-05,-1.83198e-10,1.65344,6.28123e-06,13.4926,-0.000863503
0.766985,1.29562e-07,0.0519354,9.01151,1.10296e-05,-1.83151e-10,1.65343,6.28241e-06,13.4915,-0.00086155
0.866985,1.29574e-07,0.0519357,9.01161,1.10293e-05,-1.8311e-10,1.65342,6.28356e-06,13.4903,-0.000859527
0.966985,1.29585e-07,0.0519359,9.01169,1.1029e-05,-1.83071e-10,1.65341,6.2846e-06,13.4892,-0.000857573
1.06699,1.29594e-07,0.051936,9.01176,1.10286e-05,-1.83036e-10,1.6534,6.28556e-06,13.4881,-0.000855631
1.16699,1.29602e-07,0.0519361,9.01187,1.10283e-05,-1.83002e-10,1.6534,6.28649e-06,13.487,-0.000853602
1.26699,1.2961e-07,0.0519363,9.01195,1.1028e-05,-1.8297e-10,1.65339,6.28751e-06,13.4859,-0.00085166
1.36699,1.29618e-07,0.0519365,9.01202,1.10277e-05,-1.82939e-10,1.65338,6.28866e-06,13.4849,-0.000849736
1.46699,1.29625e-07,0.0519368,9.0121,1.10274e-05,-1.82909e-10,1.65337,6.28984e-06,13.4838,-0.000847789
1.56699,1.29631e-07,0.0519369,9.01216,1.10271e-05,-1.82881e-10,1.65336,6.29061e-06,13.4827,-0.000845891
1.66699,1.29638e-07,0.0519371,9.01225,1.10268e-05,-1.82852e-10,1.65335,6.29167e-06,13.4816,-0.000843931
1.76699,1.29643e-07,0.0519372,9.01229,1.10264e-05,-1.82825e-10,1.65334,6.2927e-06,13.4805,-0.000842099
1.86699,1.29649e-07,0.0519374,9.01239,1.10261e-05,-1.82798e-10,1.65333,6.29367e-06,13.4794,-0.000840131
