# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
1.2e-06,0.0,0.0519294,10.028,1.1032e-05,-4.83169e-10,1.6535,6.26371e-06,13.5,0.00147768
0.0669821,1.35411e-07,0.0519327,9.00805,1.10318e-05,-1.69709e-10,1.65349,6.27173e-06,13.4993,-0.000882103
0.166982,1.35411e-07,0.0519329,9.00812,1.10315e-05,-1.69696e-10,1.65349,6.27279e-06,13.4981,-0.000880117
0.266983,1.35411e-07,0.0519335,9.00824,1.10312e-05,-1.69681e-10,1.65348,6.2748e-06,13.497,-0.000878042
0.366983,1.35412e-07,0.0519341,9.00835,1.10309e-05,-1.69667e-10,1.65347,6.27686e-06,13.4959,-0.000875971
0.466984,1.35413e-07,0.0519347,9.00846,1.10306e-05,-1.69652e-10,1.65346,6.27877e-06,13.4947,-0.000873914
0.566984,1.35413e-07,0.0519351,9.00855,1.10303e-05,-1.69638e-10,1.65345,6.28032e-06,13.4936,-0.000871893
0.666984,1.35414e-07,0.0519355,9.00864,1.103e-05,-1.69624e-10,1.65344,6.28189e-06,13.4925,-0.000869879
0.766985,1.35414e-07,0.0519358,9.00873,1.10297e-05,-1.69611e-10,1.65343,6.28326e-06,13.4914,-0.000867885
0.866985,1.35414e-07,0.0519361,9.00881,1.10294e-05,-1.69598e-10,1.65342,6.2846e-06,13.4903,-0.000865897
0.966985,1.35414e-07,0.0519364,9.00889,1.10291e-05,-1.69585e-10,1.65341,6.28584e-06,13.4892,-0.000863926
1.06699,1.35414e-07,0.0519366,9.00897,1.10288e-05,-1.69572e-10,1.6534,6.28701e-06,13.4881,-0.000861962
1.16699,1.35413e-07,0.0519369,9.00904,1.10285e-05,-1.69559e-10,1.6534,6.28814e-06,13.487,-0.000860007
1.26699,1.35413e-07,0.0519371,9.00912,1.10282e-05,-1.69546e-10,1.65339,6.28936e-06,13.4859,-0.000858049
1.36699,1.35413e-07,0.0519374,9.00921,1.10279e-05,-1.69533e-10,1.65338,6.2907e-06,13.4847,-0.000856081
1.46699,1.35414e-07,0.0519378,9.00929,1.10276e-05,-1.69519e-10,1.65337,6.29207e-06,13.4836,-0.000854115
1.56699,1.35413e-07,0.0519379,9.00936,1.10273e-05,-1.69507e-10,1.65336,6.29305e-06,13.4826,-0.00085219
1.66699,1.35413e-07,0.0519382,9.00944,1.1027e-05,-1.69494e-10,1.65335,6.2943e-06,13.4815,-0.000850243
1.76699,1.35413e-07,0.0519385,9.00952,1.10267e-05,-1.69481e-10,1.65334,6.29553e-06,13.4804,-0.000848305
1.86699,1.35413e-07,0.0519387,9.00959,1.10264e-05,-1.69468e-10,1.65333,6.2967e-06,13.4793,-0.000846374
1.96699,1.35413e-07,0.0519389,9.00966,1.10261e-05,-1.69455e-10,1.65333,6.29777e-06,13.4782,-0.000844456
2.06699,1.35413e-07,0.0519392,9.00974,1.10258e-05,-1.69442e-10,1.65332,6.29904e-06,13.4771,-0.000842522
2.16699,1.35413e-07,0.0519394,9.00981,1.10255e-05,-1.6943e-10,1.65331,6.30004e-06,13.476,-0.00084062
2.26699,1.35413e-07,0.0519396,9.00989,1.10252e-05,-1.69417e-10,1.6533,6.30115e-06,13.4749,-0.000838711
2.36699,1.35413e-07,0.0519399,9.00997,1.10249e-05,-1.69404e-10,1.65329,6.30244e-06,13.4739,-0.000836787
2.46699,1.35413e-07,0.0519401,9.01004,1.10246e-05,-1.69391e-10,1.65328,6.30362e-06,13.4728,-0.000834881
2.56699,1.35413e-07,0.0519404,9.01012,1.10243e-05,-1.69378e-10,1.65327,6.30484e-06,13.4717,-0.000832972
2.66699,1.35412e-07,0.0519407,9.01019,1.1024e-05,-1.69365e-10,1.65326,6.30602e-06,13.4706,-0.000831071
2.76699,1.35412e-07,0.0519409,9.01027,1.10237e-05,-1.69352e-10,1.65326,6.30719e-06,13.4696,-0.000829174
2.86699,1.35412e-07,0.0519411,9.01034,1.10234e-05,-1.6934e-10,1.65325,6.30816e-06,13.4685,-0.000827302
2.96699,1.35412e-07,0.0519412,9.01041,1.10231e-05,-1.69328e-10,1.65324,6.30918e-06,13.4674,-0.000825427
3.06699,1.35412e-07,0.0519416,9.01049,1.10228e-05,-1.69314e-10,1.65323,6.31054e-06,13.4664,-0.000823526
3.16699,1.35412e-07,0.0519418,9.01056,1.10225e-05,-1.69301e-10,1.65322,6.31173e-06,13.4653,-0.000821643
3.26699,1.35412e-07,0.0519422,9.01065,1.10223e-05,-1.69288e-10,1.65321,6.31312e-06,13.4642,-0.000819747
3.36699,1.35412e-07,0.0519424,9.01072,1.1022e-05,-1.69275e-10,1.6532,6.31421e-06,13.4632,-0.000817881
3.46699,1.35412e-07,0.0519427,9.0108,1.10217e-05,-1.69262e-10,1.65319,6.31552e-06,13.4621,-0.000815998
3.56699,1.35412e-07,0.0519429,9.01087,1.10214e-05,-1.69249e-10,1.65319,6.31668e-06,13.4611,-0.000814134
